Start;Duration;Pitch;Velocity;Instrument
000.191;002.115;49;000.250;MIDI 01
002.062;001.057;48;000.305;MIDI 01
003.008;001.153;52;000.359;MIDI 01
004.082;002.458;51;000.352;MIDI 01
006.430;000.554;49;000.180;MIDI 01
006.912;000.556;51;000.273;MIDI 01
006.393;002.179;56;000.375;MIDI 01
007.426;001.609;52;000.281;MIDI 01
008.951;000.245;51;000.297;MIDI 01
009.166;000.308;49;000.250;MIDI 01
008.445;001.079;55;000.398;MIDI 01
009.448;000.523;51;000.234;MIDI 01
009.904;000.625;56;000.289;MIDI 01
009.421;001.147;59;000.383;MIDI 01
010.466;000.555;49;000.281;MIDI 01
010.967;000.232;51;000.211;MIDI 01
011.199;000.193;52;000.312;MIDI 01
010.440;002.316;58;000.430;MIDI 01
011.491;001.662;54;000.250;MIDI 01
013.118;000.616;52;000.086;MIDI 01
012.584;001.324;56;000.328;MIDI 01
013.617;000.533;51;000.227;MIDI 01
014.083;000.564;49;000.297;MIDI 01
013.576;001.091;61;000.445;MIDI 01
013.604;001.459;57;000.219;MIDI 01
015.098;000.195;56;000.305;MIDI 01
014.593;001.049;60;000.406;MIDI 01
014.613;001.109;51;000.266;MIDI 01
015.335;000.390;54;000.328;MIDI 01
015.630;000.516;56;000.328;MIDI 01
016.125;000.273;61;000.289;MIDI 01
015.610;001.061;64;000.461;MIDI 01
016.710;000.417;54;000.172;MIDI 01
015.656;001.590;49;000.227;MIDI 01
017.164;000.192;56;000.320;MIDI 01
017.406;000.116;57;000.336;MIDI 01
017.177;000.614;47;000.234;MIDI 01
017.711;000.517;45;000.266;MIDI 01
018.204;000.659;44;000.273;MIDI 01
016.655;002.271;63;000.453;MIDI 01
017.690;001.582;59;000.312;MIDI 01
019.305;000.552;57;000.258;MIDI 01
018.785;001.108;45;000.273;MIDI 01
018.764;001.183;61;000.438;MIDI 01
019.797;000.560;56;000.305;MIDI 01
020.312;000.357;54;000.273;MIDI 01
019.825;001.152;46;000.328;MIDI 01
021.358;000.541;64;000.477;MIDI 01
020.853;001.091;48;000.398;MIDI 01
020.851;001.159;56;000.438;MIDI 01
019.799;002.246;66;000.445;MIDI 01
021.881;000.498;54;000.289;MIDI 01
021.848;000.578;63;000.461;MIDI 01
022.358;000.354;52;000.391;MIDI 01
022.353;000.378;61;000.477;MIDI 01
021.878;001.145;49;000.344;MIDI 01
022.907;000.572;44;000.391;MIDI 01
023.415;000.634;45;000.352;MIDI 01
022.902;001.275;51;000.453;MIDI 01
022.894;001.426;61;000.516;MIDI 01
024.415;000.625;50;000.367;MIDI 01
023.931;001.179;59;000.406;MIDI 01
023.910;001.202;68;000.531;MIDI 01
023.950;001.477;47;000.336;MIDI 01
025.401;000.483;45;000.352;MIDI 01
024.913;001.066;65;000.523;MIDI 01
024.935;001.195;61;000.414;MIDI 01
025.928;000.536;44;000.352;MIDI 01
024.928;001.564;49;000.359;MIDI 01
026.379;000.301;42;000.359;MIDI 01
025.893;001.131;69;000.547;MIDI 01
025.914;001.610;66;000.477;MIDI 01
026.923;001.044;68;000.539;MIDI 01
026.935;001.039;49;000.422;MIDI 01
027.445;000.598;64;000.367;MIDI 01
027.954;000.631;63;000.391;MIDI 01
027.932;000.744;73;000.594;MIDI 01
028.470;000.539;61;000.383;MIDI 01
027.965;001.490;45;000.383;MIDI 01
028.975;000.531;63;000.398;MIDI 01
027.950;001.631;66;000.500;MIDI 01
028.959;000.645;72;000.555;MIDI 01
029.443;000.550;44;000.359;MIDI 01
029.953;000.474;42;000.352;MIDI 01
029.909;001.077;76;000.617;MIDI 01
030.407;000.583;40;000.328;MIDI 01
029.933;001.244;68;000.445;MIDI 01
029.935;001.507;73;000.445;MIDI 01
030.976;001.036;42;000.281;MIDI 01
031.442;000.586;69;000.289;MIDI 01
030.927;001.522;75;000.547;MIDI 01
032.414;000.199;66;000.336;MIDI 01
031.957;000.796;68;000.258;MIDI 01
031.945;001.053;44;000.250;MIDI 01
032.926;000.522;45;000.336;MIDI 01
032.910;000.674;65;000.375;MIDI 01
031.917;002.081;71;000.344;MIDI 01
033.447;000.560;44;000.281;MIDI 01
033.428;000.620;61;000.336;MIDI 01
033.929;000.543;45;000.320;MIDI 01
033.957;000.658;66;000.328;MIDI 01
