Start;Duration;Pitch;Velocity;Instrument
001.145;000.080;44;000.680;MIDI 01
001.143;000.234;32;000.648;MIDI 01
001.630;000.128;46;000.648;MIDI 01
001.625;000.218;33;000.672;MIDI 01
001.734;000.110;47;000.703;MIDI 01
001.731;000.142;35;000.750;MIDI 01
001.996;000.075;35;000.727;MIDI 01
001.998;000.119;47;000.758;MIDI 01
002.283;000.193;47;000.555;MIDI 01
002.292;000.211;44;000.508;MIDI 01
002.299;000.215;40;000.508;MIDI 01
002.531;000.130;47;000.781;MIDI 01
002.820;000.154;47;000.523;MIDI 01
002.801;000.220;38;000.508;MIDI 01
002.805;000.223;46;000.562;MIDI 01
003.058;000.155;47;000.734;MIDI 01
003.328;000.157;47;000.617;MIDI 01
003.317;000.206;40;000.562;MIDI 01
003.304;000.222;44;000.383;MIDI 01
003.555;000.175;47;000.766;MIDI 01
003.814;000.127;47;000.570;MIDI 01
003.797;000.200;38;000.594;MIDI 01
003.808;000.193;46;000.633;MIDI 01
004.051;000.104;47;000.867;MIDI 01
004.293;000.127;47;000.703;MIDI 01
004.298;000.203;44;000.586;MIDI 01
004.291;000.212;40;000.594;MIDI 01
004.617;000.050;45;000.195;MIDI 01
004.549;000.143;47;000.805;MIDI 01
004.801;000.101;47;000.688;MIDI 01
004.799;000.150;38;000.617;MIDI 01
004.803;000.190;46;000.672;MIDI 01
005.062;000.129;47;000.664;MIDI 01
005.320;000.085;47;000.617;MIDI 01
005.324;000.102;44;000.531;MIDI 01
005.315;000.114;40;000.531;MIDI 01
005.545;000.109;47;000.695;MIDI 01
004.806;000.986;23;000.844;MIDI 01
005.812;000.070;47;000.508;MIDI 01
005.802;000.093;38;000.516;MIDI 01
005.810;000.111;46;000.523;MIDI 01
006.047;000.139;47;000.711;MIDI 01
006.138;000.050;41;000.164;MIDI 01
006.318;000.097;47;000.672;MIDI 01
006.315;000.120;40;000.562;MIDI 01
006.317;000.142;44;000.586;MIDI 01
006.597;000.002;45;000.406;MIDI 01
006.614;000.002;40;000.289;MIDI 01
006.620;000.002;43;000.227;MIDI 01
006.555;000.096;47;000.727;MIDI 01
006.050;000.723;23;000.828;MIDI 01
006.801;000.081;47;000.672;MIDI 01
006.799;000.094;36;000.602;MIDI 01
006.806;000.101;42;000.602;MIDI 01
007.016;000.049;23;000.852;MIDI 01
007.027;000.103;47;000.688;MIDI 01
007.099;000.062;40;000.172;MIDI 01
007.085;000.134;41;000.336;MIDI 01
