Start;Duration;Pitch;Velocity;Instrument
002.065;001.455;57;000.344;MIDI 01
001.589;001.955;52;000.344;MIDI 01
004.992;000.380;61;000.312;MIDI 01
006.616;000.276;64;000.250;MIDI 01
009.072;000.416;69;000.281;MIDI 01
000.931;009.781;40;000.305;MIDI 01
001.156;009.602;45;000.328;MIDI 01
000.543;010.257;37;000.211;MIDI 01
001.368;009.510;49;000.305;MIDI 01
012.197;000.074;49;000.172;MIDI 01
012.155;000.131;69;000.297;MIDI 01
012.164;000.128;57;000.281;MIDI 01
012.292;000.047;67;000.320;MIDI 01
012.467;000.059;57;000.297;MIDI 01
012.458;000.069;50;000.305;MIDI 01
012.461;000.115;67;000.477;MIDI 01
012.568;000.058;65;000.461;MIDI 01
012.698;000.079;57;000.344;MIDI 01
012.704;000.103;52;000.414;MIDI 01
012.732;000.102;65;000.508;MIDI 01
012.843;000.047;64;000.461;MIDI 01
012.983;000.068;57;000.297;MIDI 01
012.978;000.077;64;000.531;MIDI 01
012.990;000.068;53;000.391;MIDI 01
013.094;000.065;62;000.500;MIDI 01
013.268;000.076;49;000.367;MIDI 01
013.241;000.111;57;000.336;MIDI 01
013.264;000.111;69;000.516;MIDI 01
013.381;000.047;67;000.477;MIDI 01
013.523;000.075;50;000.414;MIDI 01
013.521;000.082;57;000.469;MIDI 01
013.526;000.118;67;000.570;MIDI 01
013.634;000.067;65;000.531;MIDI 01
013.775;000.085;57;000.453;MIDI 01
013.782;000.106;52;000.453;MIDI 01
013.786;000.112;65;000.570;MIDI 01
013.897;000.064;64;000.547;MIDI 01
014.034;000.053;53;000.469;MIDI 01
014.031;000.070;57;000.469;MIDI 01
014.018;000.098;64;000.539;MIDI 01
014.148;000.044;62;000.547;MIDI 01
014.320;000.084;54;000.391;MIDI 01
014.300;000.118;74;000.516;MIDI 01
014.317;000.103;62;000.516;MIDI 01
014.417;000.050;72;000.531;MIDI 01
014.573;000.078;55;000.461;MIDI 01
014.575;000.079;62;000.492;MIDI 01
014.559;000.107;72;000.562;MIDI 01
014.671;000.080;70;000.609;MIDI 01
014.809;000.091;57;000.477;MIDI 01
014.818;000.094;62;000.492;MIDI 01
014.814;000.129;70;000.562;MIDI 01
014.928;000.064;69;000.609;MIDI 01
015.066;000.124;69;000.648;MIDI 01
015.080;000.114;62;000.516;MIDI 01
015.082;000.119;58;000.508;MIDI 01
015.198;000.071;67;000.625;MIDI 01
015.366;000.156;62;000.508;MIDI 01
015.375;000.165;58;000.469;MIDI 01
015.359;000.189;67;000.656;MIDI 01
015.514;000.154;68;000.617;MIDI 01
015.876;001.543;68;000.656;MIDI 01
