Start;Duration;Pitch;Velocity;Instrument
001.516;000.774;72;000.711;Disklavier MIDI Out
000.818;001.484;55;000.656;Disklavier MIDI Out
000.823;001.499;48;000.633;Disklavier MIDI Out
002.659;000.066;75;000.656;Disklavier MIDI Out
002.778;000.197;74;000.750;Disklavier MIDI Out
003.488;000.414;67;000.711;Disklavier MIDI Out
002.801;001.431;47;000.500;Disklavier MIDI Out
002.798;001.440;55;000.562;Disklavier MIDI Out
002.795;001.476;50;000.586;Disklavier MIDI Out
004.341;000.092;67;000.578;Disklavier MIDI Out
004.413;000.057;69;000.602;Disklavier MIDI Out
004.476;000.035;71;000.625;Disklavier MIDI Out
004.555;000.070;72;000.656;Disklavier MIDI Out
004.627;000.092;74;000.672;Disklavier MIDI Out
004.683;000.174;76;000.703;Disklavier MIDI Out
005.412;000.774;76;000.766;Disklavier MIDI Out
004.688;001.510;55;000.578;Disklavier MIDI Out
004.694;001.519;46;000.516;Disklavier MIDI Out
004.697;001.517;52;000.508;Disklavier MIDI Out
004.698;001.596;48;000.516;Disklavier MIDI Out
006.522;000.070;79;000.703;Disklavier MIDI Out
006.648;000.222;77;000.773;Disklavier MIDI Out
007.362;000.257;65;000.703;Disklavier MIDI Out
006.671;001.345;45;000.516;Disklavier MIDI Out
006.663;001.361;53;000.602;Disklavier MIDI Out
006.659;001.374;48;000.562;Disklavier MIDI Out
008.222;000.091;72;000.578;Disklavier MIDI Out
008.296;000.093;74;000.609;Disklavier MIDI Out
008.356;000.070;76;000.609;Disklavier MIDI Out
008.402;000.111;77;000.633;Disklavier MIDI Out
008.498;000.160;78;000.758;Disklavier MIDI Out
009.259;000.119;66;000.734;Disklavier MIDI Out
008.530;001.460;54;000.602;Disklavier MIDI Out
008.524;001.496;48;000.555;Disklavier MIDI Out
008.534;001.490;51;000.570;Disklavier MIDI Out
008.539;001.506;44;000.570;Disklavier MIDI Out
010.245;000.096;72;000.539;Disklavier MIDI Out
010.308;000.099;74;000.602;Disklavier MIDI Out
010.364;000.152;75;000.672;Disklavier MIDI Out
010.444;000.129;78;000.625;Disklavier MIDI Out
010.515;000.189;55;000.711;Disklavier MIDI Out
010.513;000.205;79;000.727;Disklavier MIDI Out
010.519;000.207;43;000.586;Disklavier MIDI Out
010.516;000.219;48;000.617;Disklavier MIDI Out
010.517;000.222;51;000.617;Disklavier MIDI Out
011.328;000.458;53;000.734;Disklavier MIDI Out
011.325;000.468;68;000.711;Disklavier MIDI Out
011.340;000.488;41;000.617;Disklavier MIDI Out
011.319;000.516;80;000.695;Disklavier MIDI Out
011.332;000.510;72;000.688;Disklavier MIDI Out
011.336;000.516;48;000.609;Disklavier MIDI Out
011.327;000.526;77;000.648;Disklavier MIDI Out
011.334;000.519;44;000.594;Disklavier MIDI Out
013.655;000.046;44;000.266;Disklavier MIDI Out
013.846;000.127;41;000.297;Disklavier MIDI Out
013.810;000.213;65;000.320;Disklavier MIDI Out
014.470;000.197;67;000.266;Disklavier MIDI Out
014.492;000.180;43;000.273;Disklavier MIDI Out
015.195;000.201;48;000.273;Disklavier MIDI Out
015.188;000.267;60;000.266;Disklavier MIDI Out
015.941;000.193;43;000.250;Disklavier MIDI Out
016.698;000.349;36;000.195;Disklavier MIDI Out
017.394;000.035;55;000.391;Disklavier MIDI Out
017.560;000.056;60;000.359;Disklavier MIDI Out
017.694;000.051;63;000.430;Disklavier MIDI Out
017.853;000.042;67;000.492;Disklavier MIDI Out
017.994;000.044;72;000.531;Disklavier MIDI Out
018.138;000.054;75;000.508;Disklavier MIDI Out
018.289;000.038;79;000.516;Disklavier MIDI Out
018.419;000.042;79;000.617;Disklavier MIDI Out
018.581;000.039;79;000.594;Disklavier MIDI Out
018.580;000.073;67;000.367;Disklavier MIDI Out
018.584;000.070;63;000.367;Disklavier MIDI Out
018.592;000.099;60;000.375;Disklavier MIDI Out
018.736;000.037;79;000.539;Disklavier MIDI Out
018.881;000.032;79;000.555;Disklavier MIDI Out
019.022;000.037;79;000.570;Disklavier MIDI Out
019.181;000.136;67;000.438;Disklavier MIDI Out
019.179;000.156;79;000.578;Disklavier MIDI Out
019.189;000.234;62;000.391;Disklavier MIDI Out
019.347;000.086;74;000.531;Disklavier MIDI Out
019.202;000.291;59;000.328;Disklavier MIDI Out
019.493;000.048;71;000.555;Disklavier MIDI Out
019.629;000.049;67;000.516;Disklavier MIDI Out
019.780;000.042;62;000.570;Disklavier MIDI Out
019.923;000.037;59;000.500;Disklavier MIDI Out
020.074;000.041;55;000.469;Disklavier MIDI Out
020.222;000.027;55;000.516;Disklavier MIDI Out
020.353;000.045;55;000.586;Disklavier MIDI Out
020.363;000.063;50;000.414;Disklavier MIDI Out
