Start;Duration;Pitch;Velocity;Instrument
000.982;000.055;29;000.641;MIDI 01
000.979;000.092;41;000.664;MIDI 01
000.975;000.104;53;000.711;MIDI 01
001.630;000.032;72;000.391;MIDI 01
001.622;000.046;68;000.602;MIDI 01
001.616;000.088;53;000.586;MIDI 01
001.609;000.115;80;000.719;MIDI 01
001.627;000.138;60;000.570;MIDI 01
001.618;000.171;65;000.609;MIDI 01
002.062;000.070;79;000.523;MIDI 01
002.060;000.087;55;000.492;MIDI 01
002.084;000.130;56;000.555;MIDI 01
002.120;000.132;77;000.602;MIDI 01
002.205;000.097;67;000.617;MIDI 01
002.210;000.117;85;000.727;MIDI 01
002.212;000.129;79;000.570;MIDI 01
002.208;000.154;61;000.648;MIDI 01
002.188;000.182;58;000.586;MIDI 01
002.215;000.160;73;000.672;MIDI 01
002.848;000.075;28;000.742;MIDI 01
002.840;000.120;52;000.812;MIDI 01
002.842;000.137;40;000.727;MIDI 01
003.460;000.053;79;000.734;MIDI 01
003.473;000.050;73;000.719;MIDI 01
003.462;000.108;85;000.742;MIDI 01
003.465;000.109;67;000.656;MIDI 01
003.467;000.116;58;000.633;MIDI 01
003.477;000.153;64;000.656;MIDI 01
003.862;000.064;60;000.602;MIDI 01
003.876;000.079;84;000.555;MIDI 01
003.940;000.134;82;000.602;MIDI 01
004.017;000.061;69;000.742;MIDI 01
004.011;000.108;90;000.781;MIDI 01
004.019;000.108;66;000.727;MIDI 01
004.036;000.098;60;000.609;MIDI 01
004.014;000.142;84;000.586;MIDI 01
004.008;000.156;78;000.758;MIDI 01
004.711;000.049;33;000.320;MIDI 01
004.661;000.111;27;000.711;MIDI 01
004.655;000.142;51;000.805;MIDI 01
004.657;000.160;39;000.789;MIDI 01
005.356;000.002;70;000.320;MIDI 01
005.310;000.054;84;000.688;MIDI 01
005.315;000.059;78;000.734;MIDI 01
005.312;000.127;72;000.664;MIDI 01
005.302;000.172;90;000.773;MIDI 01
005.307;000.188;63;000.680;MIDI 01
005.317;000.219;69;000.617;MIDI 01
005.713;000.082;65;000.555;MIDI 01
005.765;000.041;88;000.367;MIDI 01
005.742;000.085;89;000.484;MIDI 01
005.919;000.026;92;000.500;MIDI 01
005.801;000.160;87;000.672;MIDI 01
005.897;000.067;77;000.734;MIDI 01
005.894;000.135;70;000.758;MIDI 01
005.921;000.110;65;000.594;MIDI 01
005.895;000.167;94;000.812;MIDI 01
005.892;000.194;89;000.641;MIDI 01
005.888;000.210;82;000.797;MIDI 01
006.547;000.101;26;000.711;MIDI 01
006.545;000.136;38;000.844;MIDI 01
006.543;000.155;50;000.781;MIDI 01
007.253;000.064;77;000.703;MIDI 01
007.255;000.121;65;000.688;MIDI 01
007.257;000.125;70;000.672;MIDI 01
007.259;000.201;101;000.820;MIDI 01
007.264;000.315;89;000.766;MIDI 01
007.261;000.323;94;000.844;MIDI 01
008.009;000.299;25;000.711;MIDI 01
007.990;000.326;49;000.859;MIDI 01
008.003;000.329;37;000.742;MIDI 01
008.456;000.049;29;000.430;MIDI 01
008.524;000.040;28;000.055;MIDI 01
008.411;000.214;24;000.773;MIDI 01
008.603;000.069;36;000.828;MIDI 01
009.098;000.966;77;000.758;MIDI 01
009.090;000.981;101;000.789;MIDI 01
009.107;001.001;68;000.664;MIDI 01
009.109;001.008;96;000.703;MIDI 01
009.100;001.034;92;000.750;MIDI 01
009.103;001.035;65;000.648;MIDI 01
009.111;001.053;89;000.695;MIDI 01
009.105;001.069;72;000.656;MIDI 01
010.544;000.068;72;000.625;MIDI 01
010.534;000.090;76;000.688;MIDI 01
010.535;000.096;91;000.766;MIDI 01
