Start;Duration;Pitch;Velocity;Instrument
001.560;000.326;54;000.188;MIDI 01
001.552;001.372;66;000.242;MIDI 01
002.869;000.096;57;000.250;MIDI 01
002.839;001.178;69;000.320;MIDI 01
003.782;000.252;78;000.422;MIDI 01
003.360;001.287;45;000.156;MIDI 01
003.821;000.898;66;000.227;MIDI 01
004.753;000.156;69;000.328;MIDI 01
002.370;003.019;38;000.117;MIDI 01
004.759;000.967;57;000.273;MIDI 01
005.736;000.145;54;000.227;MIDI 01
004.345;002.146;50;000.156;MIDI 01
005.198;001.360;45;000.195;MIDI 01
005.713;001.075;66;000.367;MIDI 01
006.785;000.083;57;000.188;MIDI 01
006.753;001.428;69;000.289;MIDI 01
007.841;000.490;78;000.336;MIDI 01
007.287;001.717;45;000.133;MIDI 01
007.871;001.880;66;000.211;MIDI 01
009.968;000.155;69;000.375;MIDI 01
006.316;004.013;38;000.172;MIDI 01
010.389;000.076;57;000.141;MIDI 01
010.507;000.164;66;000.305;MIDI 01
010.694;000.273;74;000.469;MIDI 01
010.056;001.118;45;000.117;MIDI 01
008.576;002.877;50;000.133;MIDI 01
011.583;000.135;66;000.445;MIDI 01
011.715;000.103;73;000.539;MIDI 01
011.327;000.501;38;000.242;MIDI 01
012.089;000.073;45;000.336;MIDI 01
012.578;000.239;69;000.445;MIDI 01
012.657;000.346;71;000.461;MIDI 01
013.150;000.065;67;000.398;MIDI 01
012.475;001.214;62;000.398;MIDI 01
013.543;000.204;69;000.445;MIDI 01
013.535;000.246;66;000.430;MIDI 01
013.569;000.425;61;000.352;MIDI 01
012.417;001.603;57;000.336;MIDI 01
013.947;000.203;64;000.398;MIDI 01
013.926;000.247;67;000.492;MIDI 01
013.167;001.009;50;000.172;MIDI 01
013.955;001.453;45;000.289;MIDI 01
014.470;001.265;62;000.352;MIDI 01
014.458;001.291;66;000.422;MIDI 01
014.469;001.425;57;000.359;MIDI 01
016.348;000.113;67;000.375;MIDI 01
016.580;000.055;69;000.453;MIDI 01
016.608;000.040;66;000.352;MIDI 01
016.358;000.295;64;000.312;MIDI 01
015.057;002.602;38;000.258;MIDI 01
016.380;001.597;45;000.203;MIDI 01
016.882;001.149;61;000.320;MIDI 01
016.872;001.379;64;000.266;MIDI 01
018.791;000.103;66;000.312;MIDI 01
018.785;000.202;62;000.281;MIDI 01
019.049;000.066;67;000.352;MIDI 01
019.046;000.084;64;000.297;MIDI 01
019.389;000.743;62;000.219;MIDI 01
019.415;000.835;59;000.289;MIDI 01
019.411;000.902;66;000.320;MIDI 01
018.805;001.536;45;000.164;MIDI 01
017.503;002.876;50;000.133;MIDI 01
020.598;000.290;57;000.352;MIDI 01
020.622;000.323;61;000.305;MIDI 01
020.143;000.850;38;000.242;MIDI 01
020.617;000.430;64;000.359;MIDI 01
020.596;000.564;69;000.430;MIDI 01
021.472;000.391;55;000.250;MIDI 01
021.410;000.482;71;000.500;MIDI 01
021.420;000.503;62;000.375;MIDI 01
021.430;000.542;67;000.375;MIDI 01
021.012;001.421;45;000.312;MIDI 01
022.285;000.517;57;000.320;MIDI 01
022.293;000.598;61;000.281;MIDI 01
022.255;000.846;69;000.430;MIDI 01
022.284;000.976;64;000.312;MIDI 01
023.198;000.529;62;000.281;MIDI 01
023.186;000.564;59;000.297;MIDI 01
023.194;000.587;66;000.328;MIDI 01
022.740;001.084;45;000.273;MIDI 01
021.873;002.030;50;000.219;MIDI 01
024.107;000.354;57;000.266;MIDI 01
023.676;000.843;38;000.211;MIDI 01
024.130;000.446;61;000.250;MIDI 01
024.113;000.572;64;000.297;MIDI 01
024.092;000.597;69;000.344;MIDI 01
025.018;000.500;71;000.352;MIDI 01
025.012;000.609;67;000.281;MIDI 01
025.036;000.589;62;000.258;MIDI 01
025.059;000.597;55;000.156;MIDI 01
024.536;001.789;45;000.258;MIDI 01
026.068;000.586;57;000.172;MIDI 01
026.060;000.751;61;000.227;MIDI 01
026.069;000.859;64;000.250;MIDI 01
026.050;000.944;69;000.281;MIDI 01
025.556;001.470;50;000.258;MIDI 01
027.554;000.204;62;000.273;MIDI 01
027.470;000.361;54;000.164;MIDI 01
027.649;000.242;66;000.320;MIDI 01
026.708;001.975;45;000.148;MIDI 01
027.789;001.207;74;000.453;MIDI 01
029.014;000.259;64;000.289;MIDI 01
029.032;000.267;66;000.336;MIDI 01
028.572;000.809;38;000.219;MIDI 01
029.439;000.119;45;000.305;MIDI 01
029.022;000.875;69;000.414;MIDI 01
029.784;000.243;62;000.398;MIDI 01
029.786;000.336;67;000.414;MIDI 01
029.770;000.766;71;000.516;MIDI 01
030.518;000.248;66;000.445;MIDI 01
030.182;000.631;50;000.289;MIDI 01
030.503;000.331;72;000.547;MIDI 01
030.558;000.396;57;000.266;MIDI 01
031.301;000.114;67;000.352;MIDI 01
031.177;000.363;59;000.352;MIDI 01
031.380;000.182;71;000.453;MIDI 01
031.497;000.379;79;000.594;MIDI 01
030.902;001.197;45;000.320;MIDI 01
032.430;000.050;64;000.305;MIDI 01
032.453;000.047;67;000.266;MIDI 01
032.011;000.690;38;000.398;MIDI 01
032.405;000.454;73;000.602;MIDI 01
032.781;000.124;45;000.383;MIDI 01
032.949;000.017;45;000.133;MIDI 01
033.169;000.147;62;000.383;MIDI 01
033.522;000.079;50;000.359;MIDI 01
033.146;000.464;74;000.562;MIDI 01
033.188;000.442;67;000.328;MIDI 01
033.171;000.474;71;000.391;MIDI 01
033.962;000.175;61;000.375;MIDI 01
033.943;000.336;67;000.398;MIDI 01
033.917;000.386;76;000.516;MIDI 01
033.941;000.392;71;000.438;MIDI 01
034.449;001.619;45;000.297;MIDI 01
034.999;002.108;64;000.383;MIDI 01
036.982;000.277;62;000.266;MIDI 01
037.004;001.546;45;000.250;MIDI 01
037.489;001.126;62;000.297;MIDI 01
035.006;003.630;69;000.375;MIDI 01
035.004;003.760;66;000.367;MIDI 01
038.036;001.578;50;000.242;MIDI 01
035.605;004.077;38;000.234;MIDI 01
039.509;000.325;45;000.180;MIDI 01
040.884;001.073;66;000.203;MIDI 01
040.844;001.141;74;000.312;MIDI 01
041.961;000.115;73;000.336;MIDI 01
041.970;000.384;64;000.250;MIDI 01
042.348;000.124;71;000.336;MIDI 01
042.377;000.288;62;000.297;MIDI 01
042.765;000.531;61;000.297;MIDI 01
042.397;001.065;42;000.219;MIDI 01
042.747;000.803;66;000.336;MIDI 01
043.507;000.334;59;000.359;MIDI 01
041.520;002.554;35;000.180;MIDI 01
043.480;000.696;62;000.406;MIDI 01
044.231;000.126;61;000.336;MIDI 01
044.237;000.360;66;000.336;MIDI 01
043.148;001.503;47;000.242;MIDI 01
043.861;000.814;42;000.227;MIDI 01
044.598;000.138;62;000.375;MIDI 01
044.596;000.195;71;000.469;MIDI 01
044.946;000.043;64;000.406;MIDI 01
045.087;000.059;71;000.352;MIDI 01
045.165;000.208;76;000.422;MIDI 01
045.318;000.105;79;000.492;MIDI 01
045.866;001.699;42;000.242;MIDI 01
046.384;001.475;66;000.352;MIDI 01
046.349;001.549;78;000.445;MIDI 01
046.382;001.597;70;000.344;MIDI 01
046.388;001.664;73;000.367;MIDI 01
044.616;004.194;35;000.258;MIDI 01
047.006;001.809;47;000.148;MIDI 01
049.402;000.107;66;000.266;MIDI 01
049.382;000.432;63;000.242;MIDI 01
049.388;000.491;71;000.336;MIDI 01
048.589;001.805;42;000.203;MIDI 01
049.356;001.321;75;000.398;MIDI 01
050.622;000.137;73;000.414;MIDI 01
050.655;000.444;64;000.242;MIDI 01
051.035;000.134;71;000.422;MIDI 01
051.032;000.333;63;000.383;MIDI 01
051.415;000.494;61;000.375;MIDI 01
051.066;001.024;42;000.227;MIDI 01
051.409;000.778;66;000.406;MIDI 01
052.129;000.419;59;000.422;MIDI 01
050.256;002.420;35;000.023;MIDI 01
052.126;000.689;63;000.359;MIDI 01
052.868;000.139;61;000.383;MIDI 01
052.848;000.368;66;000.438;MIDI 01
052.499;000.819;42;000.367;MIDI 01
051.784;001.535;47;000.336;MIDI 01
053.229;000.096;63;000.359;MIDI 01
053.220;000.173;71;000.453;MIDI 01
053.520;000.095;64;000.461;MIDI 01
053.629;000.107;71;000.453;MIDI 01
053.747;000.145;76;000.484;MIDI 01
053.896;000.128;80;000.586;MIDI 01
054.447;001.592;42;000.297;MIDI 01
053.208;002.860;35;000.359;MIDI 01
054.997;001.113;66;000.406;MIDI 01
055.021;001.212;70;000.320;MIDI 01
055.007;001.283;73;000.383;MIDI 01
054.969;001.784;78;000.555;MIDI 01
055.547;001.672;47;000.281;MIDI 01
057.066;001.292;42;000.234;MIDI 01
057.661;001.179;74;000.430;MIDI 01
057.680;001.195;71;000.320;MIDI 01
057.702;001.185;66;000.266;MIDI 01
057.689;001.215;62;000.258;MIDI 01
059.305;000.041;71;000.258;MIDI 01
059.279;000.087;66;000.344;MIDI 01
059.290;000.116;62;000.367;MIDI 01
059.274;000.148;74;000.453;MIDI 01
058.186;001.336;35;000.180;MIDI 01
059.743;000.349;67;000.383;MIDI 01
059.724;000.379;62;000.406;MIDI 01
059.722;000.416;71;000.469;MIDI 01
059.706;000.536;74;000.523;MIDI 01
060.252;000.079;62;000.375;MIDI 01
059.328;001.054;42;000.250;MIDI 01
060.312;000.204;71;000.516;MIDI 01
060.409;000.212;76;000.570;MIDI 01
060.736;000.095;77;000.461;MIDI 01
060.756;000.081;71;000.375;MIDI 01
060.083;000.776;31;000.398;MIDI 01
061.043;000.059;62;000.375;MIDI 01
060.751;001.596;43;000.430;MIDI 01
061.260;001.511;77;000.586;MIDI 01
061.124;002.169;71;000.531;MIDI 01
062.818;001.485;43;000.367;MIDI 01
063.291;001.140;64;000.383;MIDI 01
063.288;001.178;76;000.477;MIDI 01
063.293;001.231;72;000.406;MIDI 01
063.802;001.303;48;000.305;MIDI 01
061.737;003.961;36;000.477;MIDI 01
065.554;000.869;64;000.383;MIDI 01
065.535;000.901;76;000.562;MIDI 01
065.028;001.440;43;000.250;MIDI 01
065.565;000.961;67;000.398;MIDI 01
065.544;001.082;72;000.453;MIDI 01
067.126;000.129;67;000.422;MIDI 01
067.119;000.141;72;000.414;MIDI 01
067.117;000.150;64;000.438;MIDI 01
067.104;000.215;76;000.562;MIDI 01
066.035;001.340;36;000.422;MIDI 01
067.648;000.399;64;000.477;MIDI 01
067.659;000.417;69;000.453;MIDI 01
067.151;000.950;43;000.320;MIDI 01
067.639;000.492;73;000.516;MIDI 01
067.633;000.561;76;000.633;MIDI 01
068.185;000.026;64;000.445;MIDI 01
068.291;000.204;73;000.578;MIDI 01
068.409;000.204;78;000.617;MIDI 01
068.021;000.742;33;000.422;MIDI 01
068.760;000.097;79;000.609;MIDI 01
068.775;000.121;73;000.461;MIDI 01
069.079;000.065;64;000.383;MIDI 01
068.783;001.679;45;000.453;MIDI 01
069.194;001.458;73;000.508;MIDI 01
069.307;001.821;79;000.625;MIDI 01
069.803;002.386;38;000.477;MIDI 01
071.062;001.264;45;000.352;MIDI 01
071.572;001.009;74;000.391;MIDI 01
071.566;001.061;78;000.414;MIDI 01
071.584;001.716;66;000.336;MIDI 01
072.136;001.411;50;000.289;MIDI 01
073.397;000.503;69;000.352;MIDI 01
074.150;000.208;57;000.203;MIDI 01
074.138;000.290;66;000.289;MIDI 01
073.425;001.481;45;000.227;MIDI 01
074.097;000.847;74;000.461;MIDI 01
074.782;000.702;38;000.289;MIDI 01
075.206;000.303;64;000.375;MIDI 01
075.227;000.290;66;000.336;MIDI 01
075.598;000.122;45;000.336;MIDI 01
075.204;000.851;69;000.430;MIDI 01
075.982;000.278;66;000.344;MIDI 01
075.968;000.298;62;000.352;MIDI 01
075.959;000.817;71;000.547;MIDI 01
076.358;000.572;50;000.297;MIDI 01
075.792;001.149;45;000.023;MIDI 01
076.736;000.306;66;000.391;MIDI 01
076.721;000.409;72;000.516;MIDI 01
076.756;000.411;57;000.289;MIDI 01
077.509;000.100;67;000.328;MIDI 01
077.446;000.308;59;000.320;MIDI 01
077.603;000.171;71;000.422;MIDI 01
077.715;000.431;79;000.547;MIDI 01
077.134;001.164;45;000.336;MIDI 01
078.576;000.072;64;000.430;MIDI 01
078.605;000.132;67;000.344;MIDI 01
078.623;000.200;71;000.281;MIDI 01
078.189;000.677;38;000.359;MIDI 01
078.570;000.485;73;000.555;MIDI 01
079.285;000.121;62;000.453;MIDI 01
078.931;000.609;45;000.445;MIDI 01
079.274;000.393;74;000.578;MIDI 01
079.622;000.060;50;000.398;MIDI 01
079.302;000.426;67;000.391;MIDI 01
079.292;000.454;71;000.469;MIDI 01
080.011;000.091;61;000.438;MIDI 01
080.005;000.328;67;000.430;MIDI 01
079.993;000.422;71;000.461;MIDI 01
080.379;000.042;45;000.383;MIDI 01
079.976;000.449;76;000.602;MIDI 01
080.686;000.100;62;000.398;MIDI 01
080.776;000.058;66;000.445;MIDI 01
080.859;000.036;69;000.547;MIDI 01
080.939;000.142;74;000.492;MIDI 01
081.025;000.168;78;000.508;MIDI 01
081.102;000.229;81;000.578;MIDI 01
081.241;000.494;86;000.586;MIDI 01
082.144;000.186;76;000.453;MIDI 01
082.136;000.359;72;000.461;MIDI 01
082.139;000.448;78;000.469;MIDI 01
082.127;000.484;81;000.586;MIDI 01
082.871;000.305;71;000.438;MIDI 01
082.862;000.348;83;000.570;MIDI 01
082.884;000.483;74;000.438;MIDI 01
082.874;000.576;78;000.430;MIDI 01
083.460;000.058;69;000.406;MIDI 01
082.523;001.126;45;000.500;MIDI 01
083.539;000.119;74;000.469;MIDI 01
083.633;000.100;78;000.406;MIDI 01
083.756;000.643;84;000.578;MIDI 01
084.496;000.093;71;000.492;MIDI 01
084.622;000.126;79;000.477;MIDI 01
084.748;000.114;83;000.523;MIDI 01
081.723;003.377;38;000.523;MIDI 01
085.033;000.154;91;000.609;MIDI 01
083.272;002.463;50;000.359;MIDI 01
084.209;001.560;45;000.367;MIDI 01
086.039;000.095;76;000.430;MIDI 01
086.049;000.122;79;000.383;MIDI 01
086.064;000.124;83;000.344;MIDI 01
086.033;000.658;85;000.547;MIDI 01
086.881;000.159;74;000.422;MIDI 01
086.876;000.196;86;000.508;MIDI 01
086.896;000.198;79;000.359;MIDI 01
086.891;000.474;83;000.375;MIDI 01
086.534;000.968;45;000.289;MIDI 01
087.594;000.045;73;000.344;MIDI 01
087.697;000.198;79;000.406;MIDI 01
087.818;000.216;83;000.406;MIDI 01
087.332;001.174;50;000.180;MIDI 01
085.631;002.889;38;000.328;MIDI 01
088.486;000.059;45;000.258;MIDI 01
087.970;001.501;88;000.500;MIDI 01
089.084;000.406;67;000.367;MIDI 01
