Start;Duration;Pitch;Velocity;Instrument
000.799;000.122;61;000.648;MIDI 01
000.827;000.133;37;000.547;MIDI 01
000.831;000.151;49;000.641;MIDI 01
000.935;000.069;40;000.508;MIDI 01
000.877;000.214;52;000.602;MIDI 01
000.876;000.218;64;000.664;MIDI 01
001.296;000.077;47;000.664;MIDI 01
001.254;000.125;59;000.672;MIDI 01
001.302;000.089;35;000.641;MIDI 01
001.378;000.069;40;000.547;MIDI 01
001.333;000.174;52;000.672;MIDI 01
001.328;000.201;64;000.703;MIDI 01
001.723;000.049;33;000.570;MIDI 01
001.704;000.070;45;000.602;MIDI 01
001.682;000.115;57;000.680;MIDI 01
001.757;000.078;40;000.586;MIDI 01
001.748;000.175;52;000.648;MIDI 01
001.740;000.210;64;000.664;MIDI 01
002.110;000.079;44;000.648;MIDI 01
002.108;000.083;32;000.531;MIDI 01
002.157;000.067;40;000.578;MIDI 01
002.089;000.146;56;000.703;MIDI 01
002.183;000.109;52;000.719;MIDI 01
002.185;000.140;64;000.680;MIDI 01
002.580;000.086;43;000.617;MIDI 01
002.561;000.109;31;000.570;MIDI 01
002.624;000.071;40;000.609;MIDI 01
002.546;000.160;55;000.703;MIDI 01
002.639;000.070;52;000.688;MIDI 01
002.633;000.106;64;000.695;MIDI 01
003.545;000.022;67;000.656;MIDI 01
003.543;000.029;64;000.586;MIDI 01
003.538;000.048;88;000.727;MIDI 01
003.533;000.054;85;000.523;MIDI 01
003.539;000.059;61;000.609;MIDI 01
003.543;000.059;82;000.617;MIDI 01
003.542;000.066;76;000.719;MIDI 01
003.545;000.072;55;000.641;MIDI 01
003.881;000.024;55;000.586;MIDI 01
003.885;000.022;43;000.602;MIDI 01
003.883;000.033;64;000.656;MIDI 01
003.886;000.041;70;000.586;MIDI 01
003.849;000.094;73;000.430;MIDI 01
003.879;000.066;76;000.609;MIDI 01
004.004;000.030;64;000.734;MIDI 01
004.007;000.029;56;000.711;MIDI 01
003.996;000.050;76;000.695;MIDI 01
004.009;000.039;44;000.742;MIDI 01
004.018;000.060;68;000.609;MIDI 01
004.013;000.073;73;000.617;MIDI 01
004.452;000.021;32;000.648;MIDI 01
004.450;000.026;44;000.719;MIDI 01
004.445;000.045;66;000.672;MIDI 01
004.443;000.075;72;000.594;MIDI 01
004.458;000.066;68;000.656;MIDI 01
004.442;000.089;75;000.672;MIDI 01
004.620;000.034;44;000.023;MIDI 01
004.911;000.025;37;000.633;MIDI 01
004.907;000.035;49;000.703;MIDI 01
004.910;000.074;64;000.656;MIDI 01
004.906;000.140;68;000.641;MIDI 01
004.908;000.174;73;000.734;MIDI 01
005.322;000.098;49;000.562;MIDI 01
005.467;000.058;73;000.586;MIDI 01
005.481;000.070;76;000.664;MIDI 01
005.395;000.166;56;000.539;MIDI 01
005.490;000.074;64;000.656;MIDI 01
005.492;000.080;80;000.664;MIDI 01
005.496;000.089;85;000.703;MIDI 01
006.403;000.450;68;000.609;MIDI 01
006.822;000.033;37;000.594;MIDI 01
006.824;000.041;25;000.578;MIDI 01
007.206;000.036;66;000.570;MIDI 01
007.204;000.049;56;000.461;MIDI 01
007.223;000.043;60;000.438;MIDI 01
007.339;000.023;66;000.570;MIDI 01
007.340;000.034;56;000.547;MIDI 01
