Start;Duration;Pitch;Velocity;Instrument
000.620;000.933;59;000.258;MIDI 01
001.702;000.259;71;000.352;MIDI 01
002.243;000.409;55;000.164;MIDI 01
002.240;000.435;59;000.164;MIDI 01
002.218;000.459;64;000.219;MIDI 01
002.990;000.214;55;000.188;MIDI 01
002.955;000.251;64;000.211;MIDI 01
002.939;000.271;59;000.070;MIDI 01
003.507;000.203;64;000.172;MIDI 01
003.535;000.178;55;000.156;MIDI 01
003.511;000.209;59;000.148;MIDI 01
004.025;000.206;64;000.203;MIDI 01
004.074;000.164;55;000.133;MIDI 01
004.042;000.200;59;000.070;MIDI 01
004.551;000.176;55;000.141;MIDI 01
004.521;000.209;59;000.164;MIDI 01
004.523;000.209;64;000.141;MIDI 01
004.973;000.216;64;000.188;MIDI 01
005.008;000.188;55;000.109;MIDI 01
004.989;000.209;59;000.102;MIDI 01
005.453;000.209;64;000.094;MIDI 01
002.212;003.491;71;000.289;MIDI 01
005.980;000.093;55;000.164;MIDI 01
005.958;000.163;64;000.266;MIDI 01
005.965;000.175;59;000.188;MIDI 01
005.451;001.060;72;000.445;MIDI 01
006.543;000.355;57;000.188;MIDI 01
006.548;000.352;54;000.180;MIDI 01
006.533;000.389;64;000.242;MIDI 01
007.171;000.209;54;000.242;MIDI 01
007.156;000.236;57;000.094;MIDI 01
007.141;000.255;64;000.188;MIDI 01
007.630;000.193;54;000.242;MIDI 01
007.639;000.196;64;000.273;MIDI 01
007.635;000.201;57;000.102;MIDI 01
008.119;000.142;64;000.281;MIDI 01
008.117;000.154;54;000.250;MIDI 01
008.091;000.192;57;000.117;MIDI 01
008.610;000.303;63;000.289;MIDI 01
008.608;000.311;54;000.211;MIDI 01
008.613;000.325;57;000.117;MIDI 01
009.186;000.188;54;000.266;MIDI 01
009.141;000.235;57;000.219;MIDI 01
009.168;000.222;63;000.281;MIDI 01
006.498;003.188;71;000.375;MIDI 01
009.639;000.190;54;000.234;MIDI 01
009.644;000.189;63;000.242;MIDI 01
009.650;000.190;57;000.148;MIDI 01
010.061;000.124;57;000.211;MIDI 01
010.077;000.111;63;000.320;MIDI 01
010.076;000.140;54;000.273;MIDI 01
009.601;001.199;72;000.492;MIDI 01
010.702;000.395;63;000.266;MIDI 01
010.713;000.392;53;000.203;MIDI 01
010.700;000.428;57;000.211;MIDI 01
011.346;000.185;53;000.211;MIDI 01
011.354;000.198;57;000.062;MIDI 01
011.352;000.206;63;000.242;MIDI 01
011.853;000.175;53;000.219;MIDI 01
011.866;000.181;57;000.234;MIDI 01
011.855;000.194;63;000.234;MIDI 01
012.296;000.147;53;000.258;MIDI 01
012.291;000.175;63;000.305;MIDI 01
012.299;000.183;57;000.195;MIDI 01
012.749;000.238;62;000.352;MIDI 01
012.768;000.236;57;000.188;MIDI 01
012.729;000.290;53;000.211;MIDI 01
013.244;000.115;57;000.156;MIDI 01
013.233;000.143;62;000.336;MIDI 01
013.231;000.154;53;000.219;MIDI 01
010.682;003.083;71;000.383;MIDI 01
013.770;000.325;56;000.195;MIDI 01
013.793;000.305;53;000.055;MIDI 01
013.749;000.351;62;000.188;MIDI 01
014.372;000.201;53;000.023;MIDI 01
