Start;Duration;Pitch;Velocity;Instrument
001.104;001.475;56;000.633;MIDI 01
001.102;001.654;44;000.617;MIDI 01
004.050;000.294;37;000.469;MIDI 01
004.051;000.358;49;000.508;MIDI 01
004.657;000.186;56;000.297;MIDI 01
004.896;000.097;61;000.328;MIDI 01
005.092;000.061;64;000.312;MIDI 01
005.235;000.057;61;000.188;MIDI 01
005.372;000.041;56;000.219;MIDI 01
005.485;000.078;49;000.297;MIDI 01
005.622;000.070;56;000.281;MIDI 01
005.840;000.067;61;000.102;MIDI 01
005.904;000.062;64;000.281;MIDI 01
006.160;000.040;56;000.227;MIDI 01
006.266;000.076;49;000.359;MIDI 01
006.389;000.070;56;000.266;MIDI 01
006.552;000.040;61;000.305;MIDI 01
006.630;000.077;64;000.336;MIDI 01
006.760;000.039;61;000.297;MIDI 01
006.895;000.050;56;000.195;MIDI 01
007.009;000.059;49;000.320;MIDI 01
007.140;000.080;56;000.234;MIDI 01
007.336;000.058;61;000.117;MIDI 01
007.400;000.061;64;000.305;MIDI 01
007.671;000.047;56;000.250;MIDI 01
007.795;000.056;49;000.344;MIDI 01
007.930;000.042;68;000.312;MIDI 01
007.904;000.124;56;000.273;MIDI 01
008.026;000.055;69;000.352;MIDI 01
008.102;000.051;68;000.438;MIDI 01
008.110;000.078;61;000.070;MIDI 01
008.214;000.032;67;000.328;MIDI 01
008.256;000.072;68;000.445;MIDI 01
008.346;000.054;61;000.203;MIDI 01
008.369;000.072;73;000.406;MIDI 01
008.397;000.088;56;000.359;MIDI 01
008.476;000.093;76;000.422;MIDI 01
008.184;000.466;64;000.312;MIDI 01
008.509;000.149;52;000.406;MIDI 01
008.605;000.068;75;000.430;MIDI 01
008.723;000.029;73;000.383;MIDI 01
008.664;000.112;56;000.406;MIDI 01
008.801;000.043;61;000.383;MIDI 01
008.806;000.053;75;000.375;MIDI 01
008.864;000.050;73;000.500;MIDI 01
008.896;000.051;64;000.281;MIDI 01
008.947;000.049;72;000.438;MIDI 01
008.985;000.052;61;000.359;MIDI 01
009.011;000.070;73;000.516;MIDI 01
009.131;000.051;76;000.430;MIDI 01
