Start;Duration;Pitch;Velocity;Instrument
001.012;000.255;67;000.453;MIDI 01
001.273;000.037;72;000.531;MIDI 01
001.286;000.031;64;000.375;MIDI 01
001.291;000.031;60;000.383;MIDI 01
001.508;000.032;72;000.453;MIDI 01
001.524;000.042;64;000.328;MIDI 01
001.526;000.043;60;000.383;MIDI 01
001.725;000.035;72;000.500;MIDI 01
001.733;000.033;64;000.367;MIDI 01
001.741;000.032;60;000.398;MIDI 01
001.944;000.035;60;000.516;MIDI 01
001.949;000.033;65;000.578;MIDI 01
001.935;000.061;72;000.516;MIDI 01
001.994;000.065;71;000.586;MIDI 01
002.071;000.053;69;000.523;MIDI 01
002.128;000.052;71;000.375;MIDI 01
002.217;000.033;65;000.367;MIDI 01
002.225;000.034;60;000.352;MIDI 01
002.185;000.080;74;000.531;MIDI 01
002.270;000.111;71;000.539;MIDI 01
002.405;000.029;65;000.414;MIDI 01
002.410;000.032;60;000.406;MIDI 01
002.413;000.233;67;000.531;MIDI 01
002.689;000.043;64;000.398;MIDI 01
002.692;000.049;60;000.320;MIDI 01
002.665;000.114;72;000.477;MIDI 01
002.773;000.145;76;000.594;MIDI 01
002.939;000.040;64;000.312;MIDI 01
002.936;000.055;60;000.320;MIDI 01
002.890;000.142;74;000.602;MIDI 01
002.991;000.151;72;000.602;MIDI 01
003.141;000.049;64;000.398;MIDI 01
003.157;000.041;60;000.406;MIDI 01
003.108;000.121;71;000.609;MIDI 01
003.226;000.129;69;000.578;MIDI 01
003.379;000.037;62;000.414;MIDI 01
003.374;000.053;59;000.445;MIDI 01
003.628;000.043;62;000.398;MIDI 01
003.630;000.044;59;000.422;MIDI 01
003.851;000.032;62;000.375;MIDI 01
003.866;000.040;59;000.367;MIDI 01
003.359;000.698;67;000.516;MIDI 01
004.104;000.024;65;000.500;MIDI 01
004.351;000.205;65;000.469;MIDI 01
004.118;000.441;57;000.383;MIDI 01
004.120;000.471;60;000.422;MIDI 01
004.536;000.060;67;000.445;MIDI 01
004.588;000.044;64;000.477;MIDI 01
004.585;000.070;59;000.430;MIDI 01
004.617;000.072;55;000.383;MIDI 01
004.817;000.033;62;000.562;MIDI 01
005.062;000.160;62;000.469;MIDI 01
004.835;000.417;57;000.375;MIDI 01
004.843;000.412;53;000.367;MIDI 01
005.217;000.095;64;000.445;MIDI 01
005.287;000.042;60;000.523;MIDI 01
005.299;000.035;55;000.375;MIDI 01
005.311;000.044;52;000.406;MIDI 01
005.506;000.036;59;000.562;MIDI 01
005.517;000.037;53;000.477;MIDI 01
005.529;000.034;50;000.438;MIDI 01
005.729;000.033;62;000.500;MIDI 01
005.732;000.034;47;000.500;MIDI 01
005.731;000.036;65;000.469;MIDI 01
005.940;000.043;64;000.484;MIDI 01
005.953;000.034;60;000.430;MIDI 01
005.966;000.032;48;000.398;MIDI 01
006.228;000.078;59;000.297;MIDI 01
006.273;000.047;43;000.273;MIDI 01
006.218;000.132;62;000.359;MIDI 01
006.802;000.250;79;000.273;MIDI 01
007.057;000.027;84;000.383;MIDI 01
007.042;000.084;72;000.336;MIDI 01
007.164;000.057;76;000.367;MIDI 01
007.273;000.040;84;000.438;MIDI 01
007.276;000.067;72;000.438;MIDI 01
007.377;000.066;76;000.422;MIDI 01
007.489;000.033;84;000.531;MIDI 01
007.491;000.069;72;000.438;MIDI 01
007.587;000.054;76;000.453;MIDI 01
007.707;000.052;72;000.492;MIDI 01
007.692;000.076;84;000.562;MIDI 01
007.774;000.056;83;000.578;MIDI 01
007.804;000.058;77;000.469;MIDI 01
007.836;000.056;81;000.555;MIDI 01
007.890;000.050;83;000.391;MIDI 01
007.910;000.067;72;000.445;MIDI 01
007.944;000.086;86;000.539;MIDI 01
008.021;000.062;77;000.430;MIDI 01
008.034;000.092;83;000.578;MIDI 01
008.146;000.030;79;000.508;MIDI 01
008.150;000.064;72;000.367;MIDI 01
008.241;000.054;77;000.461;MIDI 01
008.315;000.032;79;000.555;MIDI 01
008.358;000.058;84;000.609;MIDI 01
008.374;000.106;72;000.461;MIDI 01
008.525;000.092;76;000.383;MIDI 01
008.392;000.268;88;000.688;MIDI 01
008.667;000.061;72;000.367;MIDI 01
008.659;000.116;86;000.570;MIDI 01
008.781;000.046;76;000.422;MIDI 01
008.742;000.145;84;000.633;MIDI 01
008.886;000.053;72;000.406;MIDI 01
008.852;000.119;83;000.641;MIDI 01
008.975;000.080;76;000.492;MIDI 01
008.963;000.128;81;000.641;MIDI 01
009.110;000.064;71;000.414;MIDI 01
009.219;000.084;74;000.461;MIDI 01
009.332;000.090;71;000.383;MIDI 01
009.457;000.064;74;000.516;MIDI 01
009.607;000.054;71;000.391;MIDI 01
009.676;000.073;74;000.484;MIDI 01
009.083;000.671;79;000.602;MIDI 01
009.844;000.062;76;000.398;MIDI 01
009.969;000.103;77;000.469;MIDI 01
009.849;000.239;72;000.406;MIDI 01
009.859;000.303;69;000.312;MIDI 01
010.085;000.094;81;000.531;MIDI 01
010.183;000.110;77;000.508;MIDI 01
010.291;000.029;76;000.586;MIDI 01
010.304;000.043;71;000.430;MIDI 01
010.329;000.035;67;000.391;MIDI 01
010.569;000.070;73;000.492;MIDI 01
010.689;000.098;74;000.461;MIDI 01
010.568;000.321;69;000.422;MIDI 01
010.796;000.100;77;000.523;MIDI 01
