Start;Duration;Pitch;Velocity;Instrument
000.948;001.113;56;000.188;MIDI 01
000.919;001.341;64;000.289;MIDI 01
002.384;000.096;63;000.297;MIDI 01
002.392;000.245;54;000.258;MIDI 01
002.629;001.889;66;000.375;MIDI 01
004.397;000.738;59;000.266;MIDI 01
002.672;002.635;57;000.219;MIDI 01
000.958;004.513;52;000.188;MIDI 01
006.241;000.585;59;000.266;MIDI 01
006.254;001.303;56;000.203;MIDI 01
006.438;001.394;71;000.398;MIDI 01
007.952;000.216;54;000.234;MIDI 01
007.914;000.506;69;000.414;MIDI 01
008.157;001.351;73;000.461;MIDI 01
009.975;000.609;63;000.320;MIDI 01
008.176;002.502;57;000.266;MIDI 01
006.244;004.498;52;000.141;MIDI 01
009.935;000.853;66;000.398;MIDI 01
011.647;000.285;52;000.336;MIDI 01
011.780;000.169;64;000.336;MIDI 01
011.793;000.228;56;000.172;MIDI 01
011.819;000.227;59;000.266;MIDI 01
011.851;000.282;68;000.297;MIDI 01
011.891;000.258;71;000.414;MIDI 01
012.002;001.300;76;000.523;MIDI 01
013.415;000.045;75;000.445;MIDI 01
013.427;000.054;57;000.289;MIDI 01
013.438;000.072;54;000.258;MIDI 01
013.747;000.282;78;000.508;MIDI 01
013.688;000.408;75;000.453;MIDI 01
013.615;000.525;71;000.438;MIDI 01
013.743;000.514;59;000.422;MIDI 01
013.543;000.844;51;000.398;MIDI 01
013.696;000.769;54;000.375;MIDI 01
013.831;001.447;81;000.648;MIDI 01
015.250;000.053;52;000.352;MIDI 01
015.257;000.051;59;000.156;MIDI 01
015.298;000.102;76;000.469;MIDI 01
015.279;000.214;80;000.531;MIDI 01
015.625;000.143;73;000.516;MIDI 01
015.812;000.098;81;000.516;MIDI 01
015.805;000.190;85;000.625;MIDI 01
016.393;000.072;83;000.602;MIDI 01
016.465;000.048;80;000.156;MIDI 01
015.621;000.895;45;000.367;MIDI 01
015.655;000.898;49;000.375;MIDI 01
015.631;000.933;57;000.305;MIDI 01
015.642;000.976;52;000.336;MIDI 01
016.617;000.020;80;000.406;MIDI 01
016.573;000.160;83;000.586;MIDI 01
016.749;000.286;78;000.438;MIDI 01
016.697;000.686;81;000.625;MIDI 01
017.368;000.069;76;000.500;MIDI 01
017.331;000.130;80;000.602;MIDI 01
017.668;000.608;76;000.445;MIDI 01
017.618;001.410;80;000.602;MIDI 01
019.281;000.105;81;000.406;MIDI 01
017.640;001.855;47;000.352;MIDI 01
019.599;000.503;75;000.305;MIDI 01
019.579;000.545;78;000.344;MIDI 01
019.618;001.505;59;000.211;MIDI 01
021.024;000.129;73;000.320;MIDI 01
020.998;000.193;76;000.352;MIDI 01
021.457;000.107;71;000.211;MIDI 01
021.411;000.192;75;000.383;MIDI 01
021.714;000.128;73;000.383;MIDI 01
021.744;000.100;69;000.273;MIDI 01
021.962;000.099;71;000.422;MIDI 01
021.983;000.109;68;000.297;MIDI 01
022.186;000.122;69;000.398;MIDI 01
022.217;000.108;66;000.297;MIDI 01
022.483;000.166;68;000.367;MIDI 01
022.524;000.190;64;000.211;MIDI 01
022.829;000.238;59;000.234;MIDI 01
022.802;000.288;66;000.336;MIDI 01
023.286;001.527;64;000.352;MIDI 01
023.335;001.649;56;000.203;MIDI 01
024.887;000.209;63;000.336;MIDI 01
024.922;000.227;54;000.203;MIDI 01
025.133;001.939;66;000.367;MIDI 01
026.907;000.693;59;000.305;MIDI 01
025.156;002.589;57;000.172;MIDI 01
023.333;004.566;52;000.180;MIDI 01
