Start;Duration;Pitch;Velocity;Instrument
002.227;000.027;69;000.648;MIDI 01
002.230;000.032;57;000.602;MIDI 01
002.321;000.811;69;000.734;MIDI 01
002.323;001.052;57;000.719;MIDI 01
004.015;000.032;63;000.672;MIDI 01
004.028;000.025;51;000.578;MIDI 01
004.127;000.327;63;000.742;MIDI 01
004.125;000.700;51;000.742;MIDI 01
005.638;000.035;57;000.648;MIDI 01
005.652;000.027;45;000.562;MIDI 01
005.753;000.067;57;000.711;MIDI 01
005.756;000.127;45;000.734;MIDI 01
006.315;000.032;51;000.641;MIDI 01
006.336;000.033;39;000.484;MIDI 01
006.409;000.094;51;000.711;MIDI 01
006.419;000.149;39;000.672;MIDI 01
007.030;000.034;45;000.688;MIDI 01
007.041;000.030;33;000.609;MIDI 01
007.131;000.140;45;000.758;MIDI 01
007.136;000.287;33;000.734;MIDI 01
008.015;000.036;39;000.688;MIDI 01
008.028;000.031;27;000.602;MIDI 01
011.157;001.259;48;000.523;MIDI 01
011.154;001.295;45;000.477;MIDI 01
011.145;001.532;54;000.578;MIDI 01
013.136;001.179;46;000.633;MIDI 01
013.128;001.192;55;000.688;MIDI 01
013.139;001.244;49;000.641;MIDI 01
015.127;000.627;47;000.672;MIDI 01
015.120;001.039;56;000.711;MIDI 01
015.125;001.126;51;000.688;MIDI 01
008.132;009.784;39;000.703;MIDI 01
008.134;009.801;27;000.711;MIDI 01
018.386;000.360;28;000.688;MIDI 01
018.383;000.378;40;000.727;MIDI 01
017.245;001.973;56;000.672;MIDI 01
017.246;001.976;58;000.625;MIDI 01
019.176;000.084;42;000.719;MIDI 01
019.184;000.106;30;000.719;MIDI 01
019.455;000.714;40;000.680;MIDI 01
019.453;000.756;28;000.688;MIDI 01
017.231;004.137;63;000.711;MIDI 01
017.243;004.136;51;000.695;MIDI 01
020.928;000.632;27;000.664;MIDI 01
020.925;000.768;39;000.688;MIDI 01
019.450;003.103;58;000.648;MIDI 01
019.446;003.125;55;000.688;MIDI 01
022.095;000.581;51;000.586;MIDI 01
022.080;000.606;63;000.734;MIDI 01
022.938;003.204;51;000.602;MIDI 01
023.072;003.853;60;000.539;MIDI 01
022.989;004.133;56;000.617;MIDI 01
023.118;004.040;63;000.734;MIDI 01
022.436;004.833;32;000.656;MIDI 01
022.817;004.462;44;000.695;MIDI 01
022.691;004.616;39;000.625;MIDI 01
028.257;000.027;72;000.703;MIDI 01
028.271;000.031;60;000.578;MIDI 01
028.361;000.228;72;000.789;MIDI 01
028.364;000.436;60;000.750;MIDI 01
030.009;000.029;66;000.695;MIDI 01
030.018;000.036;54;000.594;MIDI 01
030.102;000.262;66;000.750;MIDI 01
030.108;000.622;54;000.727;MIDI 01
031.521;000.036;60;000.664;MIDI 01
031.532;000.029;48;000.586;MIDI 01
031.624;000.120;60;000.727;MIDI 01
031.626;000.236;48;000.719;MIDI 01
032.160;000.038;54;000.633;MIDI 01
032.195;000.042;42;000.414;MIDI 01
032.263;000.120;54;000.727;MIDI 01
032.260;000.222;42;000.539;MIDI 01
032.875;000.025;36;000.633;MIDI 01
032.864;000.039;48;000.688;MIDI 01
032.968;000.175;48;000.727;MIDI 01
032.970;000.453;36;000.719;MIDI 01
033.828;000.038;42;000.672;MIDI 01
033.840;000.035;30;000.586;MIDI 01
036.649;001.231;57;000.578;MIDI 01
036.675;001.263;51;000.469;MIDI 01
036.682;001.260;48;000.414;MIDI 01
038.526;001.195;58;000.695;MIDI 01
038.532;001.196;49;000.648;MIDI 01
038.528;001.321;52;000.641;MIDI 01
040.491;000.975;50;000.664;MIDI 01
040.481;001.125;59;000.750;MIDI 01
040.492;001.185;54;000.680;MIDI 01
033.927;009.595;42;000.695;MIDI 01
033.933;009.660;30;000.703;MIDI 01
043.873;000.481;31;000.641;MIDI 01
043.870;000.523;43;000.672;MIDI 01
042.741;001.957;59;000.641;MIDI 01
042.743;001.978;61;000.648;MIDI 01
044.666;000.236;45;000.695;MIDI 01
044.668;000.291;33;000.656;MIDI 01
045.074;000.835;43;000.680;MIDI 01
045.076;000.909;31;000.656;MIDI 01
046.736;000.859;30;000.602;MIDI 01
042.729;004.880;66;000.727;MIDI 01
042.745;004.867;54;000.641;MIDI 01
046.733;001.081;42;000.594;MIDI 01
045.065;003.907;61;000.625;MIDI 01
045.068;003.941;58;000.617;MIDI 01
048.224;000.876;54;000.547;MIDI 01
048.195;000.913;66;000.703;MIDI 01
049.311;005.023;54;000.570;MIDI 01
048.623;005.758;35;000.641;MIDI 01
048.976;005.451;42;000.656;MIDI 01
049.152;005.281;47;000.625;MIDI 01
049.386;005.101;59;000.570;MIDI 01
049.552;004.953;66;000.742;MIDI 01
049.487;005.067;63;000.586;MIDI 01
055.179;000.028;75;000.594;MIDI 01
055.177;000.031;63;000.539;MIDI 01
055.190;000.022;87;000.539;MIDI 01
055.270;000.031;87;000.742;MIDI 01
055.267;000.048;75;000.719;MIDI 01
055.265;000.067;63;000.742;MIDI 01
055.901;000.031;57;000.578;MIDI 01
055.903;000.030;69;000.586;MIDI 01
055.911;000.023;81;000.516;MIDI 01
055.991;000.046;57;000.750;MIDI 01
055.996;000.056;69;000.773;MIDI 01
056.002;000.052;81;000.758;MIDI 01
056.509;000.038;69;000.578;MIDI 01
056.529;000.021;81;000.492;MIDI 01
056.540;000.027;93;000.406;MIDI 01
056.602;000.032;93;000.633;MIDI 01
056.617;000.030;81;000.688;MIDI 01
056.605;000.054;69;000.734;MIDI 01
056.874;000.021;87;000.664;MIDI 01
056.864;000.034;63;000.570;MIDI 01
056.871;000.029;75;000.633;MIDI 01
