Start;Duration;Pitch;Velocity;Instrument
001.700;000.477;47;000.164;MIDI 01
001.700;000.477;47;000.164;MIDI 01
002.099;000.296;48;000.281;MIDI 01
002.099;000.296;48;000.281;MIDI 01
002.349;000.221;49;000.312;MIDI 01
002.349;000.221;49;000.312;MIDI 01
002.577;000.250;52;000.375;MIDI 01
002.577;000.250;52;000.375;MIDI 01
002.820;000.524;53;000.328;MIDI 01
002.820;000.524;53;000.328;MIDI 01
003.243;001.878;56;000.250;MIDI 01
003.243;001.878;56;000.250;MIDI 01
005.150;000.256;54;000.211;MIDI 01
005.150;000.256;54;000.211;MIDI 01
005.404;000.176;55;000.312;MIDI 01
005.404;000.176;55;000.312;MIDI 01
005.596;000.132;56;000.461;MIDI 01
005.596;000.132;56;000.461;MIDI 01
005.751;000.173;57;000.469;MIDI 01
005.751;000.173;57;000.469;MIDI 01
005.929;000.352;58;000.438;MIDI 01
005.929;000.352;58;000.438;MIDI 01
006.271;001.540;61;000.305;MIDI 01
006.271;001.540;61;000.305;MIDI 01
007.711;000.273;59;000.297;MIDI 01
007.711;000.273;59;000.297;MIDI 01
007.969;000.189;60;000.312;MIDI 01
007.969;000.189;60;000.312;MIDI 01
008.151;000.128;61;000.445;MIDI 01
008.151;000.128;61;000.445;MIDI 01
008.328;000.120;64;000.453;MIDI 01
008.328;000.120;64;000.453;MIDI 01
008.488;000.091;65;000.438;MIDI 01
008.488;000.091;65;000.438;MIDI 01
008.762;000.277;65;000.383;MIDI 01
008.762;000.277;65;000.383;MIDI 01
008.840;000.323;58;000.250;MIDI 01
008.840;000.323;58;000.250;MIDI 01
008.784;000.392;61;000.195;MIDI 01
008.784;000.392;61;000.195;MIDI 01
009.160;000.127;48;000.328;MIDI 01
009.160;000.127;48;000.328;MIDI 01
009.623;000.244;64;000.305;MIDI 01
009.623;000.244;64;000.305;MIDI 01
008.834;001.046;68;000.359;MIDI 01
008.834;001.046;68;000.359;MIDI 01
009.886;000.117;66;000.383;MIDI 01
009.886;000.117;66;000.383;MIDI 01
009.368;000.752;58;000.344;MIDI 01
009.368;000.752;58;000.344;MIDI 01
010.044;000.105;67;000.445;MIDI 01
010.044;000.105;67;000.445;MIDI 01
009.633;000.566;61;000.312;MIDI 01
009.633;000.566;61;000.312;MIDI 01
010.166;000.074;68;000.477;MIDI 01
010.166;000.074;68;000.477;MIDI 01
010.284;000.066;69;000.484;MIDI 01
010.284;000.066;69;000.484;MIDI 01
010.381;000.098;70;000.539;MIDI 01
010.381;000.098;70;000.539;MIDI 01
010.543;000.136;58;000.391;MIDI 01
010.543;000.136;58;000.391;MIDI 01
010.694;000.093;48;000.438;MIDI 01
010.694;000.093;48;000.438;MIDI 01
010.554;000.243;65;000.383;MIDI 01
010.554;000.243;65;000.383;MIDI 01
010.541;000.258;68;000.391;MIDI 01
010.541;000.258;68;000.391;MIDI 01
010.827;000.140;58;000.508;MIDI 01
010.827;000.140;58;000.508;MIDI 01
010.531;000.444;73;000.516;MIDI 01
010.531;000.444;73;000.516;MIDI 01
010.971;000.053;64;000.453;MIDI 01
010.971;000.053;64;000.453;MIDI 01
010.956;000.123;67;000.477;MIDI 01
010.956;000.123;67;000.477;MIDI 01
011.079;000.138;71;000.547;MIDI 01
011.079;000.138;71;000.547;MIDI 01
011.198;000.116;72;000.594;MIDI 01
011.198;000.116;72;000.594;MIDI 01
011.311;000.041;73;000.570;MIDI 01
011.311;000.041;73;000.570;MIDI 01
