Start;Duration;Pitch;Velocity;Instrument
002.296;001.399;32;000.734;MIDI 01
002.298;001.404;44;000.781;MIDI 01
003.782;000.326;45;000.672;MIDI 01
003.780;000.517;33;000.609;MIDI 01
004.361;000.249;34;000.641;MIDI 01
004.369;000.246;46;000.766;MIDI 01
001.296;003.389;65;000.727;MIDI 01
001.302;003.430;56;000.703;MIDI 01
001.298;003.455;61;000.664;MIDI 01
001.300;003.471;53;000.766;MIDI 01
004.719;000.135;35;000.672;MIDI 01
004.715;000.189;47;000.742;MIDI 01
005.112;000.239;52;000.750;MIDI 01
005.108;000.291;64;000.789;MIDI 01
005.118;000.284;55;000.680;MIDI 01
005.115;000.297;48;000.734;MIDI 01
005.110;000.304;36;000.547;MIDI 01
005.116;000.316;60;000.648;MIDI 01
006.904;000.039;58;000.344;MIDI 01
008.272;001.524;42;000.727;MIDI 01
008.270;001.557;30;000.688;MIDI 01
009.863;000.317;43;000.672;MIDI 01
009.860;000.435;31;000.641;MIDI 01
010.491;000.255;44;000.766;MIDI 01
010.493;000.328;32;000.570;MIDI 01
006.858;004.190;63;000.719;MIDI 01
006.864;004.194;54;000.695;MIDI 01
006.860;004.264;51;000.781;MIDI 01
006.867;004.274;59;000.648;MIDI 01
010.927;000.269;45;000.742;MIDI 01
010.929;000.311;33;000.633;MIDI 01
011.637;000.325;50;000.727;MIDI 01
011.654;000.353;46;000.812;MIDI 01
011.652;000.389;34;000.664;MIDI 01
011.648;000.397;53;000.594;MIDI 01
011.634;000.476;62;000.688;MIDI 01
011.634;000.522;58;000.594;MIDI 01
014.757;000.067;34;000.242;MIDI 01
014.700;001.366;28;000.680;MIDI 01
014.695;001.398;40;000.711;MIDI 01
016.295;000.294;41;000.672;MIDI 01
016.298;000.391;29;000.602;MIDI 01
016.986;000.244;42;000.711;MIDI 01
016.991;000.256;30;000.672;MIDI 01
017.386;000.127;29;000.547;MIDI 01
017.383;000.161;31;000.539;MIDI 01
013.568;004.000;57;000.648;MIDI 01
013.561;004.048;52;000.711;MIDI 01
017.370;000.242;43;000.719;MIDI 01
013.557;004.092;61;000.680;MIDI 01
013.551;004.165;49;000.742;MIDI 01
017.853;000.254;49;000.734;MIDI 01
017.851;000.312;44;000.773;MIDI 01
017.857;000.332;32;000.609;MIDI 01
017.861;000.330;52;000.680;MIDI 01
017.864;000.411;40;000.625;MIDI 01
017.859;000.447;56;000.664;MIDI 01
017.855;000.514;61;000.680;MIDI 01
020.845;001.270;28;000.695;MIDI 01
020.837;001.372;40;000.727;MIDI 01
022.414;000.310;41;000.680;MIDI 01
022.418;000.571;29;000.586;MIDI 01
022.989;000.254;42;000.711;MIDI 01
022.993;000.254;30;000.609;MIDI 01
023.387;000.164;31;000.656;MIDI 01
023.391;000.245;43;000.734;MIDI 01
019.702;003.940;52;000.680;MIDI 01
019.701;003.948;61;000.711;MIDI 01
019.699;003.958;49;000.742;MIDI 01
019.704;003.958;57;000.656;MIDI 01
023.891;000.208;49;000.719;MIDI 01
023.898;000.214;44;000.773;MIDI 01
023.901;000.256;52;000.656;MIDI 01
023.905;000.258;40;000.656;MIDI 01
023.892;000.315;61;000.711;MIDI 01
023.903;000.306;32;000.641;MIDI 01
023.899;000.352;56;000.625;MIDI 01
025.009;001.372;61;000.797;MIDI 01
025.016;001.446;49;000.688;MIDI 01
025.031;001.624;37;000.656;MIDI 01
026.628;000.192;48;000.609;MIDI 01
026.619;000.215;60;000.656;MIDI 01
026.632;000.220;36;000.625;MIDI 01
027.477;000.964;47;000.625;MIDI 01
027.475;001.561;35;000.656;MIDI 01
027.462;001.609;59;000.711;MIDI 01
029.038;000.143;46;000.523;MIDI 01
029.019;000.275;58;000.602;MIDI 01
029.031;000.286;34;000.570;MIDI 01
029.882;001.089;45;000.570;MIDI 01
029.868;001.573;33;000.617;MIDI 01
029.870;001.634;57;000.648;MIDI 01
031.503;000.249;32;000.484;MIDI 01
031.482;000.277;56;000.547;MIDI 01
031.501;000.283;44;000.469;MIDI 01
032.415;001.825;43;000.383;MIDI 01
032.411;001.875;31;000.438;MIDI 01
032.380;002.008;55;000.539;MIDI 01
034.214;000.249;40;000.305;MIDI 01
034.197;000.365;28;000.305;MIDI 01
034.178;000.419;52;000.398;MIDI 01
035.226;000.519;37;000.156;MIDI 01
035.208;001.840;25;000.258;MIDI 01
035.181;001.905;49;000.398;MIDI 01
036.980;000.224;24;000.289;MIDI 01
036.962;000.246;48;000.328;MIDI 01
037.008;000.280;36;000.156;MIDI 01
037.880;001.651;47;000.297;MIDI 01
037.938;001.629;35;000.125;MIDI 01
039.484;000.225;34;000.180;MIDI 01
039.470;000.326;46;000.266;MIDI 01
040.431;001.723;33;000.211;MIDI 01
040.406;001.823;45;000.219;MIDI 01
042.062;000.429;32;000.125;MIDI 01
042.065;000.452;44;000.211;MIDI 01
043.230;000.398;31;000.258;MIDI 01
043.232;000.400;43;000.305;MIDI 01
043.655;000.089;44;000.203;MIDI 01
