Start;Duration;Pitch;Velocity;Instrument
001.071;000.116;69;000.500;MIDI 01
001.062;000.133;72;000.570;MIDI 01
001.345;000.070;53;000.406;MIDI 01
001.613;000.046;53;000.398;MIDI 01
001.849;000.053;53;000.383;MIDI 01
002.093;000.049;53;000.406;MIDI 01
001.583;000.730;72;000.578;MIDI 01
001.598;000.762;69;000.539;MIDI 01
002.324;000.045;70;000.477;MIDI 01
002.319;000.052;53;000.398;MIDI 01
002.326;000.057;74;000.492;MIDI 01
002.591;000.033;74;000.453;MIDI 01
002.582;000.060;53;000.438;MIDI 01
002.649;000.048;72;000.484;MIDI 01
002.715;000.055;74;000.578;MIDI 01
002.790;000.067;53;000.438;MIDI 01
003.103;000.051;53;000.367;MIDI 01
002.625;000.706;69;000.398;MIDI 01
003.369;000.047;53;000.305;MIDI 01
003.345;000.235;70;000.422;MIDI 01
003.359;000.237;67;000.383;MIDI 01
003.586;000.060;53;000.367;MIDI 01
003.599;000.185;65;000.320;MIDI 01
003.590;000.272;69;000.461;MIDI 01
003.828;000.056;53;000.398;MIDI 01
004.084;000.076;53;000.391;MIDI 01
004.078;000.084;60;000.461;MIDI 01
004.066;000.105;69;000.492;MIDI 01
004.347;000.049;53;000.375;MIDI 01
004.614;000.065;53;000.320;MIDI 01
004.847;000.057;53;000.414;MIDI 01
005.082;000.060;53;000.453;MIDI 01
004.607;000.562;60;000.414;MIDI 01
004.598;000.706;69;000.555;MIDI 01
005.310;000.037;70;000.523;MIDI 01
005.306;000.045;62;000.469;MIDI 01
005.304;000.052;53;000.461;MIDI 01
005.554;000.060;60;000.414;MIDI 01
005.544;000.076;70;000.469;MIDI 01
005.568;000.057;53;000.453;MIDI 01
005.642;000.071;69;000.445;MIDI 01
005.690;000.072;70;000.523;MIDI 01
005.764;000.072;53;000.484;MIDI 01
005.746;000.385;69;000.469;MIDI 01
006.099;000.052;53;000.414;MIDI 01
005.621;000.671;60;000.086;MIDI 01
006.384;000.067;53;000.336;MIDI 01
006.393;000.068;58;000.305;MIDI 01
006.364;000.326;67;000.422;MIDI 01
006.622;000.071;53;000.398;MIDI 01
006.629;000.131;57;000.289;MIDI 01
006.618;000.195;65;000.438;MIDI 01
006.883;000.031;53;000.336;MIDI 01
001.075;005.860;41;000.359;MIDI 01
007.258;000.154;64;000.289;MIDI 01
007.255;000.194;67;000.234;MIDI 01
007.503;000.054;48;000.344;MIDI 01
007.730;000.078;48;000.359;MIDI 01
007.755;000.168;64;000.422;MIDI 01
007.746;000.179;67;000.438;MIDI 01
007.964;000.085;48;000.438;MIDI 01
008.197;000.079;48;000.438;MIDI 01
008.204;000.198;64;000.453;MIDI 01
008.431;000.072;48;000.430;MIDI 01
008.197;000.309;68;000.453;MIDI 01
008.713;000.070;48;000.328;MIDI 01
008.960;000.061;48;000.352;MIDI 01
009.198;000.064;48;000.359;MIDI 01
008.719;000.714;65;000.367;MIDI 01
008.708;000.780;69;000.414;MIDI 01
009.430;000.075;48;000.344;MIDI 01
009.435;000.254;64;000.289;MIDI 01
009.448;000.258;68;000.328;MIDI 01
009.675;000.066;48;000.375;MIDI 01
009.706;000.225;65;000.336;MIDI 01
