Start;Duration;Pitch;Velocity;Instrument
001.064;001.208;78;000.445;MIDI 01
002.069;001.737;79;000.484;MIDI 01
003.756;000.597;78;000.406;MIDI 01
004.269;000.522;75;000.406;MIDI 01
001.121;003.790;54;000.281;MIDI 01
001.079;003.877;61;000.328;MIDI 01
001.090;003.933;64;000.289;MIDI 01
001.075;003.964;70;000.359;MIDI 01
004.683;000.398;76;000.461;MIDI 01
005.411;000.908;69;000.328;MIDI 01
005.383;001.948;76;000.453;MIDI 01
005.443;003.291;60;000.188;MIDI 01
005.402;003.354;64;000.203;MIDI 01
006.643;002.145;69;000.359;MIDI 01
008.674;000.985;62;000.297;MIDI 01
008.628;001.033;67;000.312;MIDI 01
009.432;000.446;71;000.422;MIDI 01
008.684;001.479;59;000.250;MIDI 01
010.027;002.012;66;000.391;MIDI 01
010.017;002.234;72;000.414;MIDI 01
012.592;000.621;74;000.422;MIDI 01
010.029;003.190;57;000.273;MIDI 01
011.082;002.194;76;000.414;MIDI 01
010.061;003.591;60;000.273;MIDI 01
013.099;000.620;71;000.406;MIDI 01
013.121;000.809;65;000.320;MIDI 01
013.594;000.465;72;000.461;MIDI 01
013.135;001.192;56;000.312;MIDI 01
014.423;001.274;64;000.258;MIDI 01
014.418;001.783;55;000.305;MIDI 01
014.380;002.161;72;000.492;MIDI 01
016.058;000.532;63;000.359;MIDI 01
015.255;001.511;67;000.391;MIDI 01
016.098;000.757;54;000.336;MIDI 01
016.417;000.478;69;000.445;MIDI 01
014.432;002.756;48;000.273;MIDI 01
016.759;000.510;62;000.430;MIDI 01
017.126;000.583;71;000.469;MIDI 01
016.788;001.007;53;000.359;MIDI 01
017.673;001.201;61;000.250;MIDI 01
017.709;001.801;52;000.250;MIDI 01
019.394;000.525;60;000.328;MIDI 01
017.651;002.403;69;000.438;MIDI 01
018.572;001.671;64;000.266;MIDI 01
017.700;002.611;45;000.289;MIDI 01
019.436;000.895;51;000.281;MIDI 01
019.834;000.981;66;000.367;MIDI 01
020.279;000.615;50;000.133;MIDI 01
020.239;000.871;59;000.391;MIDI 01
020.770;000.591;49;000.312;MIDI 01
020.282;001.121;43;000.250;MIDI 01
020.742;000.930;67;000.375;MIDI 01
021.650;001.258;66;000.367;MIDI 01
021.704;001.236;62;000.242;MIDI 01
021.708;001.240;50;000.234;MIDI 01
021.710;001.244;57;000.141;MIDI 01
021.716;001.417;38;000.297;MIDI 01
023.770;001.750;35;000.250;MIDI 01
023.811;001.710;50;000.023;MIDI 01
023.759;001.857;55;000.234;MIDI 01
023.733;001.885;64;000.281;MIDI 01
023.751;001.928;62;000.211;MIDI 01
