Start;Duration;Pitch;Velocity;Instrument
006.275;000.146;29;000.219;MIDI 01
006.277;000.205;41;000.180;MIDI 01
006.495;000.056;48;000.281;MIDI 01
006.307;000.311;56;000.242;MIDI 01
006.645;000.044;60;000.406;MIDI 01
006.805;000.089;61;000.359;MIDI 01
006.925;000.054;56;000.203;MIDI 01
006.806;000.188;36;000.367;MIDI 01
006.800;000.199;48;000.344;MIDI 01
006.983;000.053;68;000.320;MIDI 01
007.082;000.046;62;000.430;MIDI 01
007.173;000.081;60;000.422;MIDI 01
007.276;000.099;72;000.547;MIDI 01
007.386;000.090;68;000.492;MIDI 01
007.374;000.174;60;000.398;MIDI 01
007.540;000.036;75;000.562;MIDI 01
007.496;000.117;63;000.398;MIDI 01
007.366;000.305;48;000.508;MIDI 01
007.696;000.034;62;000.523;MIDI 01
007.767;000.053;60;000.273;MIDI 01
007.858;000.048;72;000.516;MIDI 01
007.951;000.117;63;000.500;MIDI 01
008.084;000.076;56;000.445;MIDI 01
008.151;000.043;68;000.352;MIDI 01
007.953;000.396;47;000.406;MIDI 01
008.265;000.148;59;000.320;MIDI 01
008.330;000.099;56;000.414;MIDI 01
008.452;000.069;62;000.328;MIDI 01
008.267;000.378;42;000.359;MIDI 01
008.543;000.112;60;000.414;MIDI 01
008.574;000.111;36;000.320;MIDI 01
008.710;000.034;63;000.367;MIDI 01
008.643;000.141;55;000.266;MIDI 01
008.831;000.062;29;000.422;MIDI 01
008.860;000.062;41;000.359;MIDI 01
008.844;000.154;56;000.438;MIDI 01
008.957;000.045;48;000.297;MIDI 01
009.034;000.041;60;000.469;MIDI 01
009.148;000.068;61;000.492;MIDI 01
009.130;000.164;36;000.539;MIDI 01
009.281;000.067;68;000.500;MIDI 01
009.125;000.232;48;000.516;MIDI 01
009.391;000.049;62;000.477;MIDI 01
009.465;000.058;60;000.523;MIDI 01
009.562;000.099;72;000.562;MIDI 01
009.681;000.059;68;000.500;MIDI 01
009.669;000.164;60;000.570;MIDI 01
009.826;000.025;75;000.500;MIDI 01
009.759;000.114;63;000.414;MIDI 01
009.661;000.281;48;000.555;MIDI 01
009.957;000.043;62;000.484;MIDI 01
010.040;000.110;60;000.344;MIDI 01
010.109;000.046;72;000.531;MIDI 01
010.242;000.096;63;000.461;MIDI 01
010.358;000.077;56;000.352;MIDI 01
010.424;000.037;68;000.398;MIDI 01
010.226;000.409;47;000.375;MIDI 01
010.560;000.123;59;000.266;MIDI 01
010.608;000.095;56;000.391;MIDI 01
010.722;000.084;62;000.367;MIDI 01
010.502;000.336;42;000.375;MIDI 01
010.790;000.107;36;000.336;MIDI 01
010.821;000.117;60;000.398;MIDI 01
010.914;000.127;55;000.305;MIDI 01
011.003;000.045;63;000.281;MIDI 01
011.113;000.054;29;000.242;MIDI 01
011.104;000.073;41;000.398;MIDI 01
011.216;000.042;48;000.352;MIDI 01
011.123;000.151;56;000.422;MIDI 01
011.310;000.031;60;000.477;MIDI 01
011.431;000.071;61;000.414;MIDI 01
011.406;000.156;36;000.477;MIDI 01
011.551;000.061;56;000.062;MIDI 01
011.392;000.241;48;000.414;MIDI 01
011.568;000.072;68;000.500;MIDI 01
011.683;000.046;62;000.445;MIDI 01
011.749;000.068;60;000.508;MIDI 01
011.843;000.104;72;000.562;MIDI 01
011.930;000.050;60;000.492;MIDI 01
011.927;000.114;48;000.516;MIDI 01
011.958;000.098;68;000.492;MIDI 01
012.108;000.042;75;000.547;MIDI 01
012.024;000.136;63;000.523;MIDI 01
012.233;000.114;32;000.469;MIDI 01
012.227;000.173;44;000.508;MIDI 01
012.422;000.067;60;000.453;MIDI 01
012.539;000.109;65;000.500;MIDI 01
012.639;000.074;60;000.484;MIDI 01
012.558;000.207;39;000.531;MIDI 01
