Start;Duration;Pitch;Velocity;Instrument
001.082;000.115;75;000.203;MIDI 01
001.079;000.202;64;000.188;MIDI 01
001.273;000.077;80;000.336;MIDI 01
001.025;000.402;71;000.234;MIDI 01
001.451;000.056;68;000.156;MIDI 01
001.456;000.053;76;000.242;MIDI 01
001.462;000.155;87;000.398;MIDI 01
001.652;000.156;90;000.391;MIDI 01
001.828;000.044;76;000.320;MIDI 01
001.836;000.100;87;000.414;MIDI 01
002.038;000.072;80;000.352;MIDI 01
002.221;000.055;73;000.352;MIDI 01
002.219;000.159;76;000.266;MIDI 01
002.301;000.078;80;000.344;MIDI 01
002.383;000.074;85;000.438;MIDI 01
002.497;000.108;88;000.406;MIDI 01
002.228;000.436;69;000.258;MIDI 01
002.653;000.105;71;000.203;MIDI 01
002.628;000.132;75;000.328;MIDI 01
002.642;000.176;64;000.297;MIDI 01
002.811;000.114;80;000.367;MIDI 01
002.996;000.047;68;000.273;MIDI 01
003.032;000.079;76;000.055;MIDI 01
003.007;000.173;87;000.398;MIDI 01
003.205;000.152;90;000.430;MIDI 01
003.386;000.054;76;000.242;MIDI 01
003.398;000.104;87;000.398;MIDI 01
003.587;000.072;80;000.406;MIDI 01
003.772;000.048;73;000.375;MIDI 01
003.802;000.083;76;000.188;MIDI 01
003.882;000.051;80;000.352;MIDI 01
003.965;000.060;85;000.438;MIDI 01
003.788;000.350;69;000.195;MIDI 01
004.056;000.124;88;000.453;MIDI 01
004.188;000.159;75;000.398;MIDI 01
004.196;000.216;64;000.250;MIDI 01
004.383;000.153;80;000.422;MIDI 01
004.204;000.342;71;000.219;MIDI 01
004.562;000.076;68;000.289;MIDI 01
004.596;000.085;76;000.344;MIDI 01
004.590;000.166;87;000.430;MIDI 01
004.759;000.157;90;000.461;MIDI 01
004.940;000.121;80;000.422;MIDI 01
004.935;000.128;76;000.219;MIDI 01
004.958;000.111;71;000.250;MIDI 01
005.124;000.120;87;000.445;MIDI 01
005.314;000.093;76;000.234;MIDI 01
005.356;000.053;83;000.102;MIDI 01
005.331;000.125;92;000.422;MIDI 01
005.497;000.049;95;000.414;MIDI 01
005.733;000.160;80;000.406;MIDI 01
005.731;000.251;69;000.289;MIDI 01
005.911;000.161;85;000.453;MIDI 01
005.673;000.447;76;000.281;MIDI 01
006.058;000.065;73;000.344;MIDI 01
006.100;000.030;81;000.344;MIDI 01
006.108;000.173;92;000.484;MIDI 01
006.280;000.085;97;000.508;MIDI 01
006.428;000.069;82;000.430;MIDI 01
006.465;000.126;92;000.477;MIDI 01
006.643;000.139;85;000.477;MIDI 01
006.776;000.134;62;000.094;MIDI 01
006.828;000.092;66;000.289;MIDI 01
006.872;000.049;78;000.398;MIDI 01
006.894;000.078;72;000.391;MIDI 01
006.958;000.090;84;000.453;MIDI 01
007.066;000.133;88;000.461;MIDI 01
007.131;000.190;92;000.430;MIDI 01
007.231;000.127;80;000.445;MIDI 01
007.216;000.279;69;000.188;MIDI 01
007.412;000.130;85;000.500;MIDI 01
007.205;000.357;76;000.250;MIDI 01
007.580;000.061;73;000.352;MIDI 01
007.621;000.033;81;000.398;MIDI 01
007.623;000.183;92;000.516;MIDI 01
007.794;000.111;97;000.547;MIDI 01
007.976;000.031;88;000.391;MIDI 01
008.006;000.045;81;000.406;MIDI 01
007.989;000.145;92;000.508;MIDI 01
008.183;000.149;85;000.477;MIDI 01
008.302;000.128;62;000.297;MIDI 01
008.351;000.130;66;000.281;MIDI 01
008.438;000.066;78;000.422;MIDI 01
008.428;000.126;72;000.398;MIDI 01
008.527;000.093;84;000.438;MIDI 01
008.629;000.132;88;000.477;MIDI 01
008.683;000.145;92;000.461;MIDI 01
008.793;000.134;80;000.484;MIDI 01
008.961;000.128;85;000.547;MIDI 01
008.766;000.375;69;000.398;MIDI 01
009.126;000.044;81;000.445;MIDI 01
008.755;000.434;76;000.438;MIDI 01
009.135;000.175;92;000.500;MIDI 01
009.309;000.042;97;000.508;MIDI 01
009.164;000.309;73;000.492;MIDI 01
009.494;000.092;66;000.352;MIDI 01
009.528;000.172;78;000.453;MIDI 01
009.561;000.251;72;000.266;MIDI 01
009.716;000.164;84;000.461;MIDI 01
009.903;000.099;69;000.367;MIDI 01
009.989;000.061;62;000.133;MIDI 01
009.930;000.188;88;000.414;MIDI 01
010.167;000.053;92;000.336;MIDI 01
010.449;000.116;68;000.367;MIDI 01
010.495;000.073;74;000.336;MIDI 01
010.596;000.074;80;000.367;MIDI 01
010.665;000.035;84;000.359;MIDI 01
010.734;000.079;88;000.469;MIDI 01
010.502;000.315;58;000.148;MIDI 01
010.836;000.042;65;000.367;MIDI 01
010.822;000.074;85;000.492;MIDI 01
010.904;000.041;81;000.500;MIDI 01
010.973;000.030;77;000.484;MIDI 01
010.858;000.172;55;000.398;MIDI 01
011.095;000.017;71;000.484;MIDI 01
011.195;000.050;62;000.219;MIDI 01
011.166;000.085;68;000.531;MIDI 01
011.282;000.046;74;000.398;MIDI 01
011.335;000.084;78;000.508;MIDI 01
011.404;000.039;82;000.492;MIDI 01
