Start;Duration;Pitch;Velocity;Instrument
002.111;000.037;62;000.594;MIDI 01
002.118;000.034;60;000.562;MIDI 01
002.114;000.040;65;000.570;MIDI 01
002.116;000.040;71;000.641;MIDI 01
002.165;000.002;57;000.078;MIDI 01
002.120;000.051;50;000.523;MIDI 01
002.124;000.070;43;000.547;MIDI 01
002.225;000.037;62;000.602;MIDI 01
002.229;000.035;60;000.523;MIDI 01
002.233;000.043;71;000.602;MIDI 01
002.241;000.039;65;000.586;MIDI 01
002.263;000.043;43;000.461;MIDI 01
002.270;000.037;50;000.500;MIDI 01
002.345;000.034;60;000.539;MIDI 01
002.347;000.035;62;000.586;MIDI 01
002.368;000.027;65;000.508;MIDI 01
002.354;000.059;71;000.633;MIDI 01
002.674;000.031;66;000.742;MIDI 01
002.680;000.035;62;000.656;MIDI 01
002.682;000.036;70;000.641;MIDI 01
002.691;000.029;73;000.609;MIDI 01
002.684;000.041;75;000.617;MIDI 01
002.676;000.054;78;000.688;MIDI 01
003.021;000.032;59;000.680;MIDI 01
003.032;000.037;43;000.570;MIDI 01
003.030;000.042;62;000.547;MIDI 01
003.019;000.057;50;000.617;MIDI 01
003.018;000.062;64;000.633;MIDI 01
003.023;000.070;69;000.664;MIDI 01
003.071;000.043;60;000.258;MIDI 01
003.150;000.028;59;000.664;MIDI 01
003.141;000.064;62;000.609;MIDI 01
003.144;000.062;50;000.586;MIDI 01
003.146;000.062;64;000.555;MIDI 01
003.154;000.065;43;000.555;MIDI 01
003.138;000.089;69;000.562;MIDI 01
003.260;000.039;62;000.516;MIDI 01
003.280;000.024;59;000.445;MIDI 01
003.269;000.039;64;000.398;MIDI 01
003.251;000.074;69;000.461;MIDI 01
003.544;000.035;61;000.562;MIDI 01
003.558;000.027;74;000.672;MIDI 01
003.572;000.017;76;000.531;MIDI 01
003.556;000.034;82;000.664;MIDI 01
003.574;000.025;70;000.539;MIDI 01
003.571;000.031;73;000.664;MIDI 01
003.552;000.053;88;000.711;MIDI 01
003.561;000.047;86;000.641;MIDI 01
003.555;000.056;85;000.688;MIDI 01
003.621;000.052;62;000.195;MIDI 01
003.891;000.035;65;000.664;MIDI 01
003.904;000.024;57;000.547;MIDI 01
003.893;000.036;62;000.656;MIDI 01
003.905;000.028;50;000.531;MIDI 01
003.902;000.033;60;000.633;MIDI 01
003.889;000.049;71;000.664;MIDI 01
003.911;000.030;43;000.531;MIDI 01
003.933;000.043;55;000.305;MIDI 01
004.003;000.036;57;000.602;MIDI 01
003.999;000.044;60;000.617;MIDI 01
003.994;000.053;62;000.680;MIDI 01
004.016;000.033;43;000.617;MIDI 01
004.022;000.029;55;000.461;MIDI 01
003.996;000.063;71;000.633;MIDI 01
004.005;000.058;65;000.664;MIDI 01
004.006;000.061;50;000.672;MIDI 01
004.143;000.025;60;000.547;MIDI 01
004.136;000.033;62;000.570;MIDI 01
004.141;000.031;55;000.547;MIDI 01
004.140;000.034;50;000.516;MIDI 01
004.134;000.042;57;000.523;MIDI 01
004.145;000.033;65;000.531;MIDI 01
004.129;000.054;43;000.625;MIDI 01
004.127;000.067;71;000.617;MIDI 01
004.409;000.028;66;000.711;MIDI 01
004.414;000.034;70;000.664;MIDI 01
004.419;000.031;62;000.703;MIDI 01
004.416;000.040;73;000.570;MIDI 01
004.421;000.036;75;000.609;MIDI 01
004.407;000.054;78;000.680;MIDI 01
004.710;000.031;62;000.562;MIDI 01
004.713;000.031;60;000.570;MIDI 01
004.707;000.041;64;000.578;MIDI 01
004.722;000.028;57;000.539;MIDI 01
004.719;000.033;69;000.492;MIDI 01
004.727;000.026;55;000.500;MIDI 01
004.730;000.025;50;000.445;MIDI 01
004.725;000.032;59;000.469;MIDI 01
004.732;000.033;43;000.453;MIDI 01
004.776;000.056;67;000.070;MIDI 01
