Start;Duration;Pitch;Velocity;Instrument
000.906;000.394;68;000.289;MIDI 01
001.746;000.297;68;000.266;MIDI 01
001.749;000.436;63;000.242;MIDI 01
001.710;000.602;70;000.359;MIDI 01
002.306;000.243;63;000.297;MIDI 01
002.326;000.237;67;000.312;MIDI 01
002.302;000.323;72;000.438;MIDI 01
001.762;001.308;51;000.195;MIDI 01
003.011;000.310;63;000.305;MIDI 01
003.007;000.389;72;000.445;MIDI 01
003.033;000.411;68;000.320;MIDI 01
003.054;000.862;56;000.242;MIDI 01
003.809;000.277;66;000.359;MIDI 01
003.804;000.341;73;000.469;MIDI 01
003.850;000.345;68;000.328;MIDI 01
003.833;000.458;49;000.281;MIDI 01
004.326;000.161;65;000.438;MIDI 01
004.332;000.206;68;000.266;MIDI 01
004.322;000.292;72;000.508;MIDI 01
004.343;000.411;44;000.352;MIDI 01
004.750;000.192;64;000.453;MIDI 01
004.776;000.206;68;000.289;MIDI 01
004.746;000.327;73;000.500;MIDI 01
004.769;000.325;37;000.336;MIDI 01
005.214;000.168;68;000.359;MIDI 01
005.205;000.239;63;000.375;MIDI 01
005.186;000.298;72;000.445;MIDI 01
005.236;000.516;44;000.297;MIDI 01
005.717;000.228;63;000.336;MIDI 01
005.698;000.291;68;000.414;MIDI 01
005.745;000.249;65;000.211;MIDI 01
006.385;000.344;68;000.305;MIDI 01
006.389;000.454;58;000.289;MIDI 01
006.427;000.427;63;000.195;MIDI 01
007.060;000.286;67;000.328;MIDI 01
007.081;000.318;58;000.164;MIDI 01
007.058;000.359;63;000.172;MIDI 01
007.693;000.398;58;000.109;MIDI 01
006.381;001.714;70;000.367;MIDI 01
005.743;002.588;51;000.305;MIDI 01
007.653;000.699;63;000.180;MIDI 01
007.697;000.804;66;000.281;MIDI 01
008.456;000.173;70;000.469;MIDI 01
006.409;002.372;39;000.227;MIDI 01
008.991;000.291;66;000.445;MIDI 01
008.976;000.476;72;000.508;MIDI 01
008.986;000.473;70;000.469;MIDI 01
009.415;000.191;73;000.617;MIDI 01
009.044;000.940;51;000.242;MIDI 01
009.927;000.219;65;000.445;MIDI 01
009.923;000.320;70;000.445;MIDI 01
009.911;000.357;73;000.547;MIDI 01
009.950;000.568;58;000.305;MIDI 01
010.477;000.224;68;000.469;MIDI 01
010.456;000.256;75;000.531;MIDI 01
010.472;000.244;70;000.438;MIDI 01
010.491;000.373;51;000.336;MIDI 01
010.876;000.139;67;000.516;MIDI 01
010.893;000.221;70;000.484;MIDI 01
010.874;000.258;73;000.570;MIDI 01
010.903;000.345;46;000.391;MIDI 01
011.296;000.102;70;000.352;MIDI 01
011.274;000.160;66;000.500;MIDI 01
011.256;000.217;75;000.578;MIDI 01
011.276;000.345;39;000.383;MIDI 01
011.650;000.174;70;000.492;MIDI 01
011.640;000.186;73;000.469;MIDI 01
011.697;000.151;65;000.344;MIDI 01
011.668;000.486;46;000.359;MIDI 01
012.115;000.169;67;000.414;MIDI 01
012.117;000.169;65;000.359;MIDI 01
012.094;000.213;70;000.492;MIDI 01
012.686;000.297;70;000.406;MIDI 01
012.695;000.349;60;000.328;MIDI 01
012.711;000.349;65;000.266;MIDI 01
013.274;000.272;69;000.414;MIDI 01
013.289;000.300;60;000.250;MIDI 01
013.279;000.314;65;000.297;MIDI 01
012.129;002.077;53;000.328;MIDI 01
013.828;000.469;60;000.172;MIDI 01
012.692;001.622;72;000.438;MIDI 01
013.823;000.703;68;000.367;MIDI 01
013.814;000.751;65;000.219;MIDI 01
014.472;000.447;72;000.547;MIDI 01
012.732;002.304;41;000.250;MIDI 01
015.021;000.248;65;000.469;MIDI 01
015.030;000.281;68;000.438;MIDI 01
015.017;000.511;73;000.594;MIDI 01
015.482;000.130;75;000.625;MIDI 01
015.065;001.106;44;000.273;MIDI 01
016.122;000.244;68;000.469;MIDI 01
016.129;000.430;73;000.469;MIDI 01
016.098;000.480;77;000.609;MIDI 01
016.150;000.558;37;000.367;MIDI 01
016.727;000.174;71;000.484;MIDI 01
016.735;000.260;73;000.469;MIDI 01
016.714;000.318;78;000.586;MIDI 01
016.733;000.446;42;000.438;MIDI 01
017.171;000.176;73;000.445;MIDI 01
017.161;000.239;70;000.516;MIDI 01
017.146;000.403;77;000.562;MIDI 01
017.176;000.431;49;000.383;MIDI 01
017.602;000.207;69;000.445;MIDI 01
017.598;000.301;73;000.445;MIDI 01
017.628;000.504;54;000.312;MIDI 01
018.102;000.173;73;000.352;MIDI 01
018.105;000.253;68;000.375;MIDI 01
018.109;000.269;61;000.375;MIDI 01
018.103;000.476;75;000.406;MIDI 01
018.683;000.180;67;000.289;MIDI 01
018.653;000.262;70;000.312;MIDI 01
018.648;000.287;76;000.438;MIDI 01
018.682;000.705;61;000.297;MIDI 01
019.326;000.334;68;000.312;MIDI 01
019.303;000.405;76;000.352;MIDI 01
019.330;000.398;71;000.297;MIDI 01
019.949;000.251;78;000.375;MIDI 01
019.975;000.257;68;000.289;MIDI 01
019.971;000.286;71;000.188;MIDI 01
020.488;000.167;71;000.195;MIDI 01
019.347;001.309;59;000.219;MIDI 01
020.466;000.201;76;000.406;MIDI 01
020.471;000.206;68;000.305;MIDI 01
020.981;000.230;68;000.289;MIDI 01
020.998;000.224;59;000.281;MIDI 01
020.964;000.274;75;000.422;MIDI 01
021.448;000.152;75;000.367;MIDI 01
021.445;000.276;68;000.383;MIDI 01
021.468;000.277;59;000.289;MIDI 01
021.440;000.500;77;000.500;MIDI 01
022.044;000.184;68;000.250;MIDI 01
022.006;000.240;74;000.352;MIDI 01
022.058;000.286;58;000.250;MIDI 01
021.988;000.539;79;000.445;MIDI 01
022.752;000.232;82;000.422;MIDI 01
022.783;000.217;67;000.289;MIDI 01
022.778;000.235;75;000.312;MIDI 01
022.788;000.661;58;000.203;MIDI 01
023.434;000.197;65;000.312;MIDI 01
023.441;000.248;62;000.242;MIDI 01
023.445;000.264;70;000.328;MIDI 01
023.482;000.453;56;000.289;MIDI 01
023.934;000.058;70;000.273;MIDI 01
023.951;000.107;63;000.344;MIDI 01
023.928;000.272;72;000.477;MIDI 01
023.953;000.433;55;000.328;MIDI 01
024.380;000.148;68;000.375;MIDI 01
024.353;000.268;74;000.453;MIDI 01
024.419;000.409;53;000.195;MIDI 01
024.850;000.206;79;000.383;MIDI 01
024.861;000.239;67;000.273;MIDI 01
024.855;000.335;70;000.305;MIDI 01
024.902;000.539;51;000.273;MIDI 01
025.410;000.215;75;000.352;MIDI 01
